club_database_id,save1_full_name,save2_full_name,save1_short_name,save2_short_name,save1_index,save2_index,index_delta,save1_offset,save2_offset,present_save1,present_save2,database_id_stable,save_index_stable,full_name_equivalent,short_name_equivalent,status
69,"Partizani Tirana","Partizani Tirana","Partizani","Partizani",1,5,4,0x0008DF4E,0x0008FD67,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
71,"KS Teuta Durrës","KS Teuta Durrës","Teuta","Teuta",2,6,4,0x0008E01D,0x0008FE3E,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
72,"KS Vllaznia Shkodër","KS Vllaznia Shkodër","Vllaznia","Vllaznia",3,7,4,0x0008E112,0x0008FF3B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
74,"Atlético Petróleos de Luanda","Atlético Petróleos de Luanda","Petro Atlético","Petro Atlético",4,8,4,0x0008E1EE,0x00090017,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
75,"Desportivo Primeiro de Agosto","Desportivo Primeiro de Agosto","Primeiro de Agosto","Primeiro de Agosto",5,9,4,0x0008E2D4,0x000900FD,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
76,"Primeiro de Maio (ANG)","Primeiro de Maio (ANG)","Primeiro de Maio (ANG)","Primeiro de Maio (ANG)",6,10,4,0x0008E3B4,0x000901DD,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
78,"Argentinos Juniors","Argentinos Juniors","Argentinos","Argentinos",7,11,4,0x0008E48B,0x000902B4,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
80,"Banfield","Banfield","Banfield","Banfield",8,12,4,0x0008E55F,0x00090392,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
82,"Boca Juniors","Boca Juniors","Boca","Boca",9,13,4,0x0008E6C7,0x000904E6,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
85,"Estudantes de La Plata","Estudantes de La Plata","Estudiantes (LP)","Estudiantes (LP)",10,14,4,0x0008E7D0,0x000905E7,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
88,"Huracán","Huracán","Huracán","Huracán",12,15,3,0x0008E9B3,0x000906B7,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
89,"Independiente","Independiente","Independiente","Independiente",13,16,3,0x0008EAAB,0x000907DF,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
90,"Lanús","Lanús","Lanús","Lanús",14,17,3,0x0008EB74,0x000908B8,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
91,"Newell's Old Boys","Newell's Old Boys","Newell's","Newell's",15,18,3,0x0008EC69,0x000909C2,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
93,"Racing Club","Racing Club","Racing Club","Racing Club",16,19,3,0x0008ED59,0x00090AC4,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
94,"River Plate","River Plate","River","River",17,20,3,0x0008EEBA,0x00090C3C,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
95,"Rosario Central","Rosario Central","Central","Central",18,21,3,0x0008EF91,0x00090D1C,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
96,"San Lorenzo de Almagro","San Lorenzo de Almagro","San Lorenzo","San Lorenzo",19,22,3,0x0008F0F9,0x00090E58,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
98,"Vélez Sarsfield","Vélez Sarsfield","Vélez","Vélez",20,23,3,0x0008F1DD,0x00090F24,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
102,"Pyunik Yerevan","Pyunik Yerevan","Pyunik","Pyunik",21,26,5,0x0008F29E,0x00091150,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
103,"Shirak Gyumri","Shirak Gyumri","Shirak","Shirak",22,27,5,0x0008F36B,0x00091225,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
152,"FK Austria Viena","FK Austria Viena","Austria Viena","Austria Viena",23,28,5,0x0008F47F,0x00091345,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
153,"Grazer AK","Grazer AK","GAK","GAK",24,29,5,0x0008F562,0x00091430,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
155,"SK Rapid Viena","SK Rapid Viena","Rapid Viena","Rapid Viena",25,30,5,0x0008F66F,0x00091545,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
158,"SV Salzburgo","SV Salzburgo","Salzburg","Salzburg",26,32,6,0x0008F752,0x00091729,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
167,"FK Neftçi Baku","FK Neftçi Baku","Neftçi","Neftçi",27,34,7,0x0008F81A,0x000918A5,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
168,"KAA Gent","KAA Gent","AA Gent","AA Gent",28,35,7,0x0008F915,0x000919A8,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
186,"Club Brugge KV","Club Brugge KV","Club Brugge","Club Brugge",29,37,8,0x0008FA2C,0x00091BF7,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
232,"FC Malines","FC Malines","Malines","Malines",31,39,8,0x0008FBFA,0x00091D95,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
250,"R Standard de Liège","R Standard de Liège","Standard","Standard",32,40,8,0x0008FD11,0x00091EBC,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
256,"RSC Anderlecht","RSC Anderlecht","Anderlecht","Anderlecht",33,41,8,0x0008FE2C,0x00091FF2,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
258,"K Racing Club Genk","K Racing Club Genk","Genk","Genk",34,42,8,0x0008FF4D,0x0009212B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
262,"R Antwerp FC","R Antwerp FC","Antuérpia","Antuérpia",35,43,8,0x0009004D,0x00092243,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
265,"Sporting Lokeren SNW","Sporting Lokeren SNW","Lokeren","Lokeren",36,44,8,0x00090168,0x00092366,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
266,"KSK Beveren","KSK Beveren","Beveren","Beveren",37,45,8,0x0009025A,0x0009246F,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
289,"KVC Westerlo","KVC Westerlo","Westerlo","Westerlo",38,47,9,0x00090342,0x000926A4,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
303,"Dinamo Minsk","Dinamo Minsk","Din.Minsk","Din.Minsk",39,48,9,0x00090446,0x000927C8,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
304,"Dinamo-93 Minsk","Dinamo-93 Minsk","Din.93 Minsk","Din.93 Minsk",40,49,9,0x000904F6,0x00092878,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
