club_database_id,save1_full_name,save2_full_name,save1_short_name,save2_short_name,save1_index,save2_index,index_delta,save1_offset,save2_offset,present_save1,present_save2,database_id_stable,save_index_stable,full_name_equivalent,short_name_equivalent,status
61,"","Sportklub Tirana","","SK Tirana",,1,,,0x0008FA40,False,True,False,False,False,False,APENAS_SAVE_2
62,"","KS Elbasani","","Elbasani",,2,,,0x0008FAEE,False,True,False,False,False,False,APENAS_SAVE_2
63,"","KS Flamurtari Vlorë","","Flamurtari",,3,,,0x0008FBB0,False,True,False,False,False,False,APENAS_SAVE_2
65,"","KS Shkumbini Peqin","","Shkumbini",,4,,,0x0008FC6E,False,True,False,False,False,False,APENAS_SAVE_2
87,"Gimnasia y Esgrima de La Plata","","Gimnasia (LP)","",11,,,0x0008E8E3,,True,False,False,False,False,False,APENAS_SAVE_1
99,"","Ararat Yerevan","","Ararat",,24,,,0x00090FE5,False,True,False,False,False,False,APENAS_SAVE_2
101,"","Kotayk Abovyan","","Kotayk",,25,,,0x00091087,False,True,False,False,False,False,APENAS_SAVE_2
156,"","SK Sturm Graz","","Sturm Graz",,31,,,0x00091646,False,True,False,False,False,False,APENAS_SAVE_2
162,"","FK Turan Tovuz","","Turan Tovuz",,33,,,0x000917D5,False,True,False,False,False,False,APENAS_SAVE_2
184,"","KSV Cercle Brugge","","Cercle Brugge",,36,,,0x00091A9A,False,True,False,False,False,False,APENAS_SAVE_2
188,"","KFC Dessel Sport","","Dessel",,38,,,0x00091CBC,False,True,False,False,False,False,APENAS_SAVE_2
212,"FC Brussels","","ｘɿ堀","",30,,,0x0008FB29,,True,False,False,False,False,False,APENAS_SAVE_1
268,"","K Lierse SK","","Lierse",,46,,,0x00092599,False,True,False,False,False,False,APENAS_SAVE_2
307,"","Neman Grodno","","Neman Grodno",,50,,,0x0009295E,False,True,False,False,False,False,APENAS_SAVE_2
308,"","Torpedo-SKA Minsk","","Torpedo Minsk",,51,,,0x00092A32,False,True,False,False,False,False,APENAS_SAVE_2
317,"CA Bragantino","","Bragantino","",47,,,0x000910B5,,True,False,False,False,False,False,APENAS_SAVE_1
320,"Criciúma EC","","Criciúma","",49,,,0x000916BF,,True,False,False,False,False,False,APENAS_SAVE_1
331,"Paysandu SC","","Paysandu","",60,,,0x00093746,,True,False,False,False,False,False,APENAS_SAVE_1
334,"C Remo","","Remo","",63,,,0x00093F9D,,True,False,False,False,False,False,APENAS_SAVE_1
336,"União São João EC","","União São João","",65,,,0x00094375,,True,False,False,False,False,False,APENAS_SAVE_1
338,"Sport C Recife","","Sport Recife","",67,,,0x00094924,,True,False,False,False,False,False,APENAS_SAVE_1
347,"","Naftex (Burgas)","","Naftex",,76,,,0x00094092,False,True,False,False,False,False,APENAS_SAVE_2
354,"","Pirin (Blagoevgrad)","","Pirin",,80,,,0x0009449F,False,True,False,False,False,False,APENAS_SAVE_2
400,"O'Higgins de Rancagua","","O'Higgins","",78,,,0x0009571F,,True,False,False,False,False,False,APENAS_SAVE_1
409,"Guangzhou Rizhiquan","","Guangzhou","",83,,,0x00095B87,,True,False,False,False,False,False,APENAS_SAVE_1
