field,value,count,examples
Field1,189,669,"CCD Tuluá | C Atlético Mineiro | EC Bahia | Botafogo FR | CA Bragantino | SC Corinthians Paulista | Criciúma EC | Cruzeiro EC | CR Flamengo | Fluminense FC | Grêmio FBPA | Guarani FC"
Field1,4294967295,194,"Dinamo Minsk | Uto Gun Gluck | Servette de Genève Football SA | Club de Fútbol Atlante | Al Ahli (KSA) | Al Sadd | Olaria AC | São Paulo Athletic | Independência FC | Internacional São Paulo | Laval Dynamites | Estrela do Norte FC"
Field1,170,44,"Supersport United | Albacete Balompié S.A.D. | U.D. Almería S.A.D. | Athletic Club | C.D. Tenerife S.A.D. | Cádiz | Club Atlético Osasuna | Club Atlético de Madrid S.A.D. | D. Alavés S.A.D. | C.D. Numancia S.A.D. | Córdoba | R.C. Deportivo de La Coruña S.A.D."
Field1,145,42,"Dinamo Tbilisi | 1.FC Nuremberga | TSV Alemannia Aachen | Bayer 04 Leverkusen | DSC Arminia Bielefeld | VfL Bochum | Borussia Dortmund | Borussia Mönchengladbach | Eintracht Frankfurt | FC Bayern Munique | 1.FC Köln | 1.FSV Mainz 05"
Field1,150,35,"Maccabi Tel-Aviv | AC Milão | AS Roma | Ascoli | Atalanta | Bolonha | Brescia | Cagliari | Catanzaro | Cesena | Chievo Verona | Fiorentina"
Field1,139,31,"Shelbourne F.C. | Arsenal | Aston Villa | Birmingham City | Blackburn Rovers | Bolton Wanderers | Cambridge United | Charlton Athletic | Chelsea | Crystal Palace | Derby County | Everton"
Field1,109,20,"Sliema Wanderers | Club de Fútbol América | Club Deportivo Cruz Azul | Club Guadalajara | Club de Fútbol Monterrey | Club Deportivo Necaxa | Club Deportivo León | Sporting Clube Olhanense | Deportivo Toluca | FC Piñar del Río | CD Cobreloa | CD Huachipato"
Field1,143,20,"Myllykosken Pallo -47 | Auxerre | Mónaco | St. Etienne | Nantes | Bordéus | Châteauroux | Le Havre | Lille | Nice | Lyon | Marselha"
Field1,158,20,"GS Neos Panionios | AZ Alkmaar | AFC Ajax | De Graafschap | FC Dordrecht | FC Groningen | FC Twente | FC Utreque | FC Volendam | Feyenoord | NAC Breda | NEC Nijmegen"
Field1,162,20,"Legia-Daewoo Varsóvia | Boavista Futebol Clube | C.F. Os Belenenses | Clube Futebol União Madeira | Clube Sport Marítimo | Penafiel | Futebol Clube do Porto | Gil Vicente Futebol Clube | Sport Lisboa e Benfica | Sporting Clube de Braga | Sporting Clube de Portugal | União Desportiva de Leiria"
Field1,187,18,"Primeiro de Maio (ANG) | Argentinos Juniors | Banfield | Boca Juniors | Estudantes de La Plata | Gimnasia y Esgrima de La Plata | Huracán | Independiente | Lanús | Newell's Old Boys | Racing Club | River Plate"
Field1,165,16,"Steaua Bucareste | CSKA Moscovo | Dinamo Moscovo | Krylja Sovetov Samara | Lokomotiv Moscovo | SC Rotor Volgograd | Spartak Moscovo | Alania Vladikavkaz | Çaykur Rizespor | Saturn Moskovskaya Oblast | Torpedo Moscow | Rubin Kazan"
Field1,191,16,"FC The Strongest | Shanghai Shenhua | CD América de Cali | CPD Junior | CD Once Caldas | AC Deportivo Cali | Independiente Santa Fé | CDI Medellín | CD Los Millonarios | CDC Atlético Nacional | CD Santiago Wanderers | Club Tiburones Rojos de Veracruz"
Field1,131,12,"FK Neftçi Baku | KAA Gent | Club Brugge KV | FC Brussels | FC Malines | R Standard de Liège | RSC Anderlecht | K Racing Club Genk | R Antwerp FC | Sporting Lokeren SNW | KSK Beveren | SW Bregenz"
Field1,195,12,"DC United | CA Bella Vista | Central Espanhol | CA Cerro | Danubio FC | Defensor Sporting C | Liverpool (URU) | C Nacional F | Peñarol | Homentmen | Wil | Sepahan Esfahan"
