club_record_index,club_id,header_offset,field1,field2,field3,full_name,short_name,name_offset,name_distance,score,confidence
1,69,0x0008DF4E,126,255,255,"Partizani Tirana","Partizani",581330,62,105,HIGH
2,71,0x0008E01D,126,255,255,"KS Teuta Durrës","Teuta",581571,38,105,HIGH
3,72,0x0008E112,1,255,255,"KS Vllaznia Shkodër","Vllaznia",581778,62,105,HIGH
4,74,0x0008E1EE,1,255,255,"Atlético Petróleos de Luanda","Petro Atlético",581992,38,105,HIGH
5,75,0x0008E2D4,1,255,255,"Desportivo Primeiro de Agosto","Primeiro de Agosto",582212,38,105,HIGH
6,76,0x0008E3B4,187,255,255,"Primeiro de Maio (ANG)","Primeiro de Maio (ANG)",582442,38,105,HIGH
7,78,0x0008E48B,187,255,255,"Argentinos Juniors","Argentinos",582681,46,105,HIGH
8,80,0x0008E55F,187,255,255,"Banfield","Banfield",582886,77,105,HIGH
9,82,0x0008E6C7,187,255,255,"Boca Juniors","Boca",583142,181,105,HIGH
10,85,0x0008E7D0,187,255,255,"Estudantes de La Plata","Estudiantes (LP)",583458,86,105,HIGH
11,87,0x0008E8E3,187,255,255,"Gimnasia y Esgrima de La Plata","Gimnasia (LP)",583723,86,105,HIGH
12,88,0x0008E9B3,187,255,255,"Huracán","Huracán",583998,77,105,HIGH
13,89,0x0008EAAB,187,255,255,"Independiente","Independiente",584206,93,105,HIGH
14,90,0x0008EB74,187,255,255,"Lanús","Lanús",584454,78,105,HIGH
15,91,0x0008EC69,187,255,255,"Newell's Old Boys","Newell's",584670,77,105,HIGH
16,93,0x0008ED59,187,255,255,"Racing Club","Racing Club",584900,93,105,HIGH
17,94,0x0008EEBA,187,255,255,"River Plate","River",585169,189,105,HIGH
18,95,0x0008EF91,187,255,255,"Rosario Central","Central",585508,53,105,HIGH
19,96,0x0008F0F9,187,255,255,"San Lorenzo de Almagro","San Lorenzo",585774,125,105,HIGH
20,98,0x0008F1DD,128,255,255,"Vélez Sarsfield","Vélez",586068,85,105,HIGH
21,102,0x0008F29E,128,255,255,"Pyunik Yerevan","Pyunik",586322,24,105,HIGH
22,103,0x0008F36B,129,255,255,"Shirak Gyumri","Shirak",586515,38,105,HIGH
23,152,0x0008F47F,129,255,255,"FK Austria Viena","Austria Viena",586720,89,105,HIGH
24,153,0x0008F562,129,255,255,"Grazer AK","GAK",586996,74,105,HIGH
25,155,0x0008F66F,129,255,255,"SK Rapid Viena","Rapid Viena",587223,90,105,HIGH
26,158,0x0008F752,130,255,255,"SV Salzburgo","Salzburg",587492,58,105,HIGH
27,167,0x0008F81A,131,255,255,"FK Neftçi Baku","Neftçi",587719,31,105,HIGH
28,168,0x0008F915,131,255,255,"KAA Gent","AA Gent",587934,77,105,HIGH
29,186,0x0008FA2C,131,255,255,"Club Brugge KV","Club Brugge",588193,77,105,HIGH
30,212,0x0008FB29,131,255,255,"FC Brussels","ｘɿ堀",588496,49,105,HIGH
31,232,0x0008FBFA,131,255,255,"FC Malines","Malines",588671,77,105,HIGH
32,250,0x0008FD11,131,255,255,"R Standard de Liège","Standard",588930,77,105,HIGH
33,256,0x0008FE2C,131,255,255,"RSC Anderlecht","Anderlecht",589195,101,105,HIGH
34,258,0x0008FF4D,131,255,255,"K Racing Club Genk","Genk",589488,101,105,HIGH
35,262,0x0009004D,131,255,255,"R Antwerp FC","Antuérpia",589746,101,105,HIGH
36,265,0x00090168,131,255,255,"Sporting Lokeren SNW","Lokeren",590033,85,105,HIGH
37,266,0x0009025A,131,255,255,"KSK Beveren","Beveren",590285,93,105,HIGH
38,289,0x00090342,132,255,255,"KVC Westerlo","Westerlo",590553,53,105,HIGH
39,303,0x00090446,4294967295,255,255,"Dinamo Minsk","Din.Minsk",590775,89,105,HIGH
40,304,0x000904F6,188,255,255,"Dinamo-93 Minsk","Din.93 Minsk",591004,24,105,HIGH
