division,display_name,club_id,found,club_record_index,header_offset,parsed_name,status
1,"Atlético Paranaense",107206,True,568,0x000B2696,"C Atlético Paranaense",CONFIRMADO
1,"Atlético Mineiro",314,True,44,0x00090A27,"C Atlético Mineiro",CONFIRMADO
1,"Botafogo",316,True,46,0x00090FDF,"Botafogo FR",CONFIRMADO
1,"Corinthians",319,True,48,0x000913D6,"SC Corinthians Paulista",CONFIRMADO
1,"Coritiba",104776,True,525,0x000AFD85,"Coritiba FC",CONFIRMADO
1,"Criciúma",320,True,49,0x000916BF,"Criciúma EC",CONFIRMADO
1,"Cruzeiro",321,True,50,0x000919AA,"Cruzeiro EC",CONFIRMADO
1,"Figueirense",301306,True,849,0x000C1BAE,"Figueirense FC",CONFIRMADO
1,"Flamengo",322,True,51,0x00091CB1,"CR Flamengo",CONFIRMADO
1,"Fluminense",323,True,52,0x00091FB8,"Fluminense FC",CONFIRMADO
1,"Goiás",102555,True,498,0x000AE2AC,"Goiás EC",CONFIRMADO
1,"Grêmio",324,True,53,0x000922D1,"Grêmio FBPA",CONFIRMADO
1,"Guarani",325,True,54,0x000925B5,"Guarani FC",CONFIRMADO
1,"Internacional",326,True,55,0x000928DE,"SC Internacional",CONFIRMADO
1,"Juventude",327,True,56,0x00092BD2,"EC Juventude",CONFIRMADO
1,"Palmeiras",329,True,58,0x000931A0,"SE Palmeiras",CONFIRMADO
1,"Paraná",330,True,59,0x00093485,"Paraná C",CONFIRMADO
1,"Paysandu",331,True,60,0x00093746,"Paysandu SC",CONFIRMADO
1,"Ponte Preta",332,True,61,0x00093A27,"AA Ponte Preta",CONFIRMADO
1,"Santos",335,True,64,0x0009428C,"Santos FC",CONFIRMADO
1,"São Caetano",301354,True,872,0x000C35CC,"AD São Caetano",CONFIRMADO
1,"São Paulo",337,True,66,0x00094659,"São Paulo FC",CONFIRMADO
1,"Vasco",339,True,68,0x00094C11,"CR Vasco da Gama",CONFIRMADO
1,"Vitória (BA)",340,True,69,0x00094EDD,"EC Vitória",CONFIRMADO
2,"América (MG)",107201,True,565,0x000B1FD2,"América FC (MG)",CONFIRMADO
2,"América (RN)",107203,True,566,0x000B229B,"América FC (RN)",CONFIRMADO
2,"Anapolina",301146,True,764,0x000BD283,"AA Anapolina",CONFIRMADO
2,"Avaí",107208,True,569,0x000B2947,"Avaí FC",CONFIRMADO
2,"Bahia",315,True,45,0x00090CF3,"EC Bahia",CONFIRMADO
2,"Brasiliense",309670,True,987,0x000C941B,"Brasiliense FC",CONFIRMADO
2,"CRB",301102,True,740,0x000BB9CB,"CR Brasil",CONFIRMADO
2,"Caxias",301266,True,828,0x000C0878,"SER Caxias do Sul",CONFIRMADO
2,"Ceará",104749,True,522,0x000AF6FF,"Ceará SC",CONFIRMADO
2,"Fortaleza",104750,True,523,0x000AF9BC,"Fortaleza EC",CONFIRMADO
2,"Ituano",107216,True,573,0x000B2E56,"Ituano SCF",CONFIRMADO
2,"Joinville",301310,True,851,0x000C1F35,"Joinville EC",CONFIRMADO
2,"Londrina",900678,True,1564,0x000E438F,"Londrina EC",CONFIRMADO
2,"Marília",311026,True,1064,0x000CCD14,"Marília AC",CONFIRMADO
2,"Mogi Mirim",107222,True,576,0x000B32B9,"Mogi Mirim EC",CONFIRMADO
2,"Náutico",328,True,57,0x00092E9B,"C Náutico Capibaribe",CONFIRMADO
2,"Paulista",301338,True,864,0x000C2BA2,"Paulista FC",CONFIRMADO
2,"Portuguesa",333,True,62,0x00093CEA,"A Portuguesa D",CONFIRMADO
2,"Sport Recife",338,True,67,0x00094924,"Sport C Recife",CONFIRMADO
2,"Remo",334,True,63,0x00093F9D,"C Remo",CONFIRMADO
2,"Santa Cruz",107232,True,581,0x000B3930,"Santa Cruz FC",CONFIRMADO
2,"Santo André",301352,True,871,0x000C330B,"EC Santo André",CONFIRMADO
2,"São Raimundo (AM)",301111,True,746,0x000BC190,"São Raimundo EC (AM)",CONFIRMADO
2,"Vila Nova (GO)",311107,True,1079,0x000CD8E4,"Nova Iguaçu FC",CONFIRMADO
