player_name,name_offset,reference_kind,reference_value,reference_offset,relative_to_name_start,relative_to_name_end,width,direction,context_hex
"Anderson",0x0011301A,CLUB_DATABASE_ID,322,0x001137CC,1970,1954,2,DEPOIS,000000F002000000020000000000000000000400000000000000640000009200420106060000FF9A99993E00009B590000BB590000401700003D000000460000
"Anderson",0x00134E83,CLUB_SAVE_INDEX,51,0x00134BA0,-739,-755,2,ANTES,006F0020004D006100720069006E006F0000000290001F339000009000FF7F1F3300043A010000A10F0000A20F0000A30F0000000A0A0A0A0A0A0A0A0A0A0A0A
"Anderson",0x002E5D4C,CLUB_SAVE_INDEX,51,0x002E61A7,1115,1099,2,DEPOIS,00B2AD0400000A00000041006C0065007300730061006E00640072006F0000003300BD000000CFBE00008CD50400000E0000004300610072006C006F00730020
"Anderson",0x006112D4,CLUB_SAVE_INDEX,51,0x00611402,302,286,2,DEPOIS,000000D6200000C1BD040000070000004C0075006300690061006E006F0000003300BD000000D7200000CFAB0400000500000041006E0064007200E900000033
"Anderson",0x006112D4,CLUB_SAVE_INDEX,51,0x00611421,333,317,2,DEPOIS,003300BD000000D7200000CFAB0400000500000041006E0064007200E90000003300BD000000D8200000895C320000060000005200F300620073006F006E0000
"Diego",0x00136C45,CLUB_SAVE_INDEX,51,0x0013646F,-2006,-2016,4,ANTES,001400045D0600001E7C150302020206010F000200000005000000191A00000333000000641600000028070000002801010109000000450073006C006F007600
"Diego",0x00136C45,CLUB_SAVE_INDEX,51,0x0013646F,-2006,-2016,2,ANTES,001400045D0600001E7C150302020206010F000200000005000000191A00000333000000641600000028070000002801010109000000450073006C006F007600
"Diego",0x00142F03,CLUB_SAVE_INDEX,51,0x0014352F,1580,1570,4,DEPOIS,0000006B9B8300000600000059006100630069006E00650000000E0000000000330000003BC7800000040000004100640065006C0000000C0000000000340000
"Diego",0x00142F03,CLUB_SAVE_INDEX,51,0x0014352F,1580,1570,2,DEPOIS,0000006B9B8300000600000059006100630069006E00650000000E0000000000330000003BC7800000040000004100640065006C0000000C0000000000340000
"Diego",0x0025C4AE,CLUB_SAVE_INDEX,51,0x0025CA1C,1390,1380,2,DEPOIS,00340096000000797F00005421000000050000004D006900720063006F0000003300960000007A7F000083CB7900000700000055006D0062006500720074006F
"Diego",0x0025C4AE,CLUB_SAVE_INDEX,51,0x0025CA3F,1425,1415,2,DEPOIS,0000007A7F000083CB7900000700000055006D0062006500720074006F0000003300960000007B7F00000AC20A00000700000041006C0066006F006E0073006F
"Diego",0x0027055A,CLUB_SAVE_INDEX,51,0x00270AF1,1431,1421,4,DEPOIS,000058140D00000400000052006F0064007900000002009E000000C2880000DE3300000008000000570069006C0066007200690065006400000002009E000000
"Diego",0x0027055A,CLUB_SAVE_INDEX,51,0x00270AF1,1431,1421,2,DEPOIS,000058140D00000400000052006F0064007900000002009E000000C2880000DE3300000008000000570069006C0066007200690065006400000002009E000000
"Diego",0x0027055A,CLUB_SAVE_INDEX,51,0x00270B37,1501,1491,4,DEPOIS,0000000600000041006C0066006F006E007300000002009E000000C4880000D0330000000200000043006F00000002009E000000C588000092F80C0000070000
"Diego",0x0027055A,CLUB_SAVE_INDEX,51,0x00270B37,1501,1491,2,DEPOIS,0000000600000041006C0066006F006E007300000002009E000000C4880000D0330000000200000043006F00000002009E000000C588000092F80C0000070000
"Diego",0x002A2DD0,CLUB_SAVE_INDEX,51,0x002A3002,562,552,2,DEPOIS,0000006D9F00009D9C7100000700000041006C0066006F006E0073006F0000003300AA0000006E9F0000853A400000050000004300E900730061007200000032
"Diego",0x002DD21C,CLUB_SAVE_INDEX,51,0x002DD693,1143,1133,2,DEPOIS,00BB0000004ABB0000924D2F0000060000004700610073007400F3006E0000003300BB0000004BBB00009EA00E0000050000004D006100720069006F00000031
"Diego",0x002E6281,CLUB_SAVE_INDEX,51,0x002E61A7,-218,-228,2,ANTES,00B2AD0400000A00000041006C0065007300730061006E00640072006F0000003300BD000000CFBE00008CD50400000E0000004300610072006C006F00730020
"Diego",0x0031E9BC,CLUB_SAVE_INDEX,51,0x0031E9E7,43,33,2,DEPOIS,003700C300000078D4000045013A0000050000005000610062006C006F0000003300C300000079D400007FA9860000070000004D0061007200630065006C006F
"Diego",0x0047A4AB,CLUB_SAVE_INDEX,51,0x0047A972,1223,1213,2,DEPOIS,070000005400F3006D00610073006F006E00000001009400000057990000FCE23300000C00000053006900670074007200790067006700730073006F006E0000
"Diego",0x00611563,CLUB_SAVE_INDEX,51,0x00611402,-353,-363,2,ANTES,000000D6200000C1BD040000070000004C0075006300690061006E006F0000003300BD000000D7200000CFAB0400000500000041006E0064007200E900000033
"Diego",0x00611563,CLUB_SAVE_INDEX,51,0x00611421,-322,-332,2,ANTES,003300BD000000D7200000CFAB0400000500000041006E0064007200E90000003300BD000000D8200000895C320000060000005200F300620073006F006E0000
"Dill",0x005BDFC3,CLUB_DATABASE_ID,322,0x005BE013,80,72,4,DEPOIS,0041010000DB12080000050000004B006F00630068006500000001000D000000420100004281510000040000004C00610072007900000001000E000000430100
"Dill",0x005BDFC3,CLUB_DATABASE_ID,322,0x005BE013,80,72,2,DEPOIS,0041010000DB12080000050000004B006F00630068006500000001000D000000420100004281510000040000004C00610072007900000001000E000000430100
"Fabinho",0x0061149B,CLUB_SAVE_INDEX,51,0x00611402,-153,-167,2,ANTES,000000D6200000C1BD040000070000004C0075006300690061006E006F0000003300BD000000D7200000CFAB0400000500000041006E0064007200E900000033
"Fabinho",0x0061149B,CLUB_SAVE_INDEX,51,0x00611421,-122,-136,2,ANTES,003300BD000000D7200000CFAB0400000500000041006E0064007200E90000003300BD000000D8200000895C320000060000005200F300620073006F006E0000
"Felipe",0x002A3595,CLUB_SAVE_INDEX,51,0x002A3002,-1427,-1439,2,ANTES,0000006D9F00009D9C7100000700000041006C0066006F006E0073006F0000003300AA0000006E9F0000853A400000050000004300E900730061007200000032
"Felipe",0x002E62A0,CLUB_SAVE_INDEX,51,0x002E61A7,-249,-261,2,ANTES,00B2AD0400000A00000041006C0065007300730061006E00640072006F0000003300BD000000CFBE00008CD50400000E0000004300610072006C006F00730020
"Felipe",0x00611869,CLUB_SAVE_INDEX,51,0x00611402,-1127,-1139,2,ANTES,000000D6200000C1BD040000070000004C0075006300690061006E006F0000003300BD000000D7200000CFAB0400000500000041006E0064007200E900000033
"Felipe",0x00611869,CLUB_SAVE_INDEX,51,0x00611421,-1096,-1108,2,ANTES,003300BD000000D7200000CFAB0400000500000041006E0064007200E90000003300BD000000D8200000895C320000060000005200F300620073006F006E0000
"Jean",0x000B887C,CLUB_SAVE_INDEX,51,0x000B8DFD,1409,1401,2,DEPOIS,610069002000420061006E006B000000030000004B00540042000000038C001F330000020000C07D00000200700000007002019C030000020663000036F10100
"Jean",0x000B889A,CLUB_SAVE_INDEX,51,0x000B8DFD,1379,1371,2,DEPOIS,610069002000420061006E006B000000030000004B00540042000000038C001F330000020000C07D00000200700000007002019C030000020663000036F10100
"Jean",0x00105405,CLUB_SAVE_INDEX,51,0x0010526E,-407,-415,4,ANTES,0045005A02DA040000FF0000803E0000690A0000300E0000FFFFFFFF300000003300000000000000000000000887008700870087008700870087008700000000
"Jean",0x00105405,CLUB_SAVE_INDEX,51,0x0010526E,-407,-415,2,ANTES,0045005A02DA040000FF0000803E0000690A0000300E0000FFFFFFFF300000003300000000000000000000000887008700870087008700870087008700000000
"Jean",0x00105997,CLUB_SAVE_INDEX,51,0x0010526E,-1833,-1841,4,ANTES,0045005A02DA040000FF0000803E0000690A0000300E0000FFFFFFFF300000003300000000000000000000000887008700870087008700870087008700000000
"Jean",0x00105997,CLUB_SAVE_INDEX,51,0x0010526E,-1833,-1841,2,ANTES,0045005A02DA040000FF0000803E0000690A0000300E0000FFFFFFFF300000003300000000000000000000000887008700870087008700870087008700000000
"Jean",0x001059C1,CLUB_SAVE_INDEX,51,0x0010526E,-1875,-1883,4,ANTES,0045005A02DA040000FF0000803E0000690A0000300E0000FFFFFFFF300000003300000000000000000000000887008700870087008700870087008700000000
"Jean",0x001059C1,CLUB_SAVE_INDEX,51,0x0010526E,-1875,-1883,2,ANTES,0045005A02DA040000FF0000803E0000690A0000300E0000FFFFFFFF300000003300000000000000000000000887008700870087008700870087008700000000
"Jean",0x0014172A,CLUB_SAVE_INDEX,51,0x00141673,-183,-191,2,ANTES,0061007300200054002000260020004300000002FF7F1F33FF7F001F33FF7F1F330003690300000D1000000E100000000A0A0A0A0A0A0A0A0A0A050A0A000000
"Jean",0x001460A0,CLUB_DATABASE_ID,322,0x00145AE0,-1472,-1480,4,ANTES,0000090000004100620064006500720061006F007500660000000100000000004201000038F97300000600000046006500720068006100740000000100000000
"Jean",0x001460A0,CLUB_DATABASE_ID,322,0x00145AE0,-1472,-1480,2,ANTES,0000090000004100620064006500720061006F007500660000000100000000004201000038F97300000600000046006500720068006100740000000100000000
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x002287DA,-1669,-1677,2,ANTES,4C0E0000050000004B0065006E006E007900000003008A00000048670000B3E533000003000000540075006500000003008A00000049670000376F0E00000500
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x002288B9,-1446,-1454,2,ANTES,69006B002000500072006500620065006E00000002008A0000004F6700008AE63300000500000056006900670067006F00000002008A0000005067000021E733
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x002288D8,-1415,-1423,2,ANTES,E63300000500000056006900670067006F00000002008A0000005067000021E7330000060000004A006F0068006E006E006900000002008A0000005167000072
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228922,-1341,-1349,2,ANTES,610064007300200050006500740065007200000002008A0000005267000052E6330000090000004D0061007200740069006E00200042006F00000002008A0000
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228AAE,-945,-953,2,ANTES,670000B0490E0000030000004B0061006900000002008A0000005E6700004CE53300000B000000480061006E00730020004A00F8007200670065006E00000002
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228AD9,-902,-910,2,ANTES,6E00730020004A00F8007200670065006E00000002008A0000005F67000089E733000004000000450067006F006E00000002008A00000060670000752D0E0000
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228B9B,-708,-716,2,ANTES,000006000000490073006D00610069006C00000002008A0000006567000026E533000005000000480061006C0069006C00000002008A00000066670000CB480E
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228C36,-553,-561,2,ANTES,00BD636F0000040000005000650065007200000002008A0000006A67000002E533000005000000480065006C006C006500000002008A0000006B670000A22F0E
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228D2B,-308,-316,2,ANTES,4A0065006E00730020004500720069006B00000002008A00000071670000EDE4330000040000004A00650066006600000002008A00000072670000B23A0E0000
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228E75,22,14,2,DEPOIS,009B390E0000040000004A00650061006E00000002008A0000007B670000E7E433000005000000530061006D006D007900000002008A0000007C6700000E310E
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228EAD,78,70,2,DEPOIS,007C6700000E310E0000020000004D002E00000002008A0000007D670000D8E4330000090000004D0061007200740069006E00200042002E00000002008A0000
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00228EF3,148,140,2,DEPOIS,36000000050000004B006C00610076007300000002008A0000007F670000B7E43300000500000048006100730061006E00000002008A000000806700009A430E
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x0022900F,432,424,2,DEPOIS,6F006D006100730020004200750075007300000002008A00000087670000BCE3330000040000004B00720069007300000002008A00000088670000AC2C020000
"Jean",0x00228E5F,CLUB_SAVE_INDEX,51,0x00229095,566,558,2,DEPOIS,320E000005000000530061006D0069007200000002008A0000008B67000065E33300000300000054006F007200000002008A0000008C67000053420E00000B00
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022BC9B,-1293,-1301,2,ANTES,0000060000004A0061006E0020004D002E00000001008A000000BD68000094E73300000D0000004300610072007300740065006E002000540072006900650072
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022BE47,-865,-873,2,ANTES,74002000480061006C006600640061006E00000001008A000000C768000096E7330000050000004B006500740069006C00000001008A000000C8680000180400
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022BEAA,-766,-774,2,ANTES,070000004C00650069006600200042002E00000001008A000000CA68000097E73300000D0000004D0061007200740069006E0020004C0075006E006400620079
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C2D3,299,291,2,DEPOIS,F80072006700650020004200610063006800000001008A000000E5680000F2E1330000050000004C0079006E0067006500000001008A000000E6680000F3E133
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C2F2,330,322,2,DEPOIS,E1330000050000004C0079006E0067006500000001008A000000E6680000F3E1330000070000005000680069006C006C0069007000000001008A000000E76800
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C35F,439,431,2,DEPOIS,00CE760E0000040000004B00610061006E00000001008A000000E9680000E9E233000005000000440065006E0069007300000001008A000000EA680000F2E233
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C37E,470,462,2,DEPOIS,E233000005000000440065006E0069007300000001008A000000EA680000F2E23300000A00000041006E0064007900200048006F006C0073006500000001008A
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C3EF,583,575,2,DEPOIS,6F006D006100730020004100780065006C00000001008A000000ED68000002E33300000D0000004A00610063006F00620020004E006900730074007200750070
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C43F,663,655,2,DEPOIS,0000060000004E006500770072006F007A00000001008A000000EF68000014E3330000090000004D0069006B006B0065006C00200042006F00000001008A0000
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C466,702,694,2,DEPOIS,4D0069006B006B0065006C00200042006F00000001008A000000F06800001CE33300000A0000004D00690063006800610065006C002000D8002E00000001008A
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C48F,743,735,2,DEPOIS,690063006800610065006C002000D8002E00000001008A000000F16800001DE33300000800000052006F006E006E007900200042002E00000001008A000000F2
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C4B4,780,772,2,DEPOIS,000052006F006E006E007900200042002E00000001008A000000F268000026E33300000A00000041006E0064007200650061007300200054002E00000001008A
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C4DD,821,813,2,DEPOIS,6E0064007200650061007300200054002E00000001008A000000F368000055E3330000040000004900640064006900000001008A000000F468000060E3330000
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C4FA,850,842,2,DEPOIS,0055E3330000040000004900640064006900000001008A000000F468000060E3330000040000004D00750073006100000001008A000000F568000090370E0000
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C53E,918,910,2,DEPOIS,540068006F006D006100730020004E002E00000001008A000000F66800006BE3330000090000005200610073006D0075007300200046002E00000001008A0000
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C565,957,949,2,DEPOIS,5200610073006D0075007300200046002E00000001008A000000F768000073E33300000A0000005300F800720065006E0020004C0075006E006400000001008A
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C58E,998,990,2,DEPOIS,F800720065006E0020004C0075006E006400000001008A000000F868000080E3330000080000004D006100640073002000420072006F00000001008A000000F9
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C5B3,1035,1027,2,DEPOIS,00004D006100640073002000420072006F00000001008A000000F968000085E3330000090000004300680075006E0067002000570061006900000001008A0000
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C622,1146,1138,2,DEPOIS,4D00650068006D006500740061006C006900000001008A000000FC680000E6E33300000900000041006C006C0061006E002000420061006B00000001008A0000
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C649,1185,1177,2,DEPOIS,41006C006C0061006E002000420061006B00000001008A000000FD68000048E43300000C0000004B0065006E006E006500740068002000460075006800720000
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C676,1230,1222,2,DEPOIS,6E0065007400680020004600750068007200000001008A000000FE68000058E43300000500000045006C00760061006E00000001008A000000FF6800007E370E
"Jean",0x0022C1A8,CLUB_SAVE_INDEX,51,0x0022C6BC,1300,1292,2,DEPOIS,480065006E00720069006B00200053002E00000001008A000000006900006EE4330000040000004A0061006E006E00000001008A000000016900008FE4330000
