relative_offset,data_type,player_count,distinct_value_count,expected_id_match_count,expected_id_match_rate,assessment,values
36,UINT32,9,9,1,0.111111,CAMPO_VARIAVEL,"189 | 1536 | 65536 | 8832815 | 184549380 | 1234108416 | 1534787584 | 1547304960 | 1862296320"
44,UINT32,9,9,1,0.111111,CAMPO_VARIAVEL,"11026 | 3300780 | 1241513984 | 1308622848 | 1409286144 | 1627407104 | 1627408896 | 1946184704 | 3808456448"
48,UINT32,9,9,1,0.111111,CAMPO_VARIAVEL,"1792 | 8825041 | 536899328 | 1627417856 | 1845522176 | 1862300672 | 1929404672 | 1946187008 | 3808456448"
0,UINT32,9,7,0,0.000000,SEM_PADRAO,"6357062 | 6619218 | 6881348 | 7209025 | 7274564 | 7471170 | 16384074"
0,UINT16,9,6,0,0.000000,SEM_PADRAO,"65 | 66 | 68 | 70 | 74 | 82"
0,BYTE,9,6,0,0.000000,SEM_PADRAO,"65 | 66 | 68 | 70 | 74 | 82"
-1,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
1,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-2,UINT16,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-2,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
2,UINT16,9,7,0,0.000000,SEM_PADRAO,"97 | 101 | 105 | 110 | 111 | 114 | 250"
2,BYTE,9,7,0,0.000000,SEM_PADRAO,"97 | 101 | 105 | 110 | 111 | 114 | 250"
-3,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
3,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-4,UINT32,9,7,0,0.000000,SEM_PADRAO,"5 | 10 | 11 | 12 | 13 | 16 | 18"
-4,UINT16,9,7,0,0.000000,SEM_PADRAO,"5 | 10 | 11 | 12 | 13 | 16 | 18"
-4,BYTE,9,7,0,0.000000,SEM_PADRAO,"5 | 10 | 11 | 12 | 13 | 16 | 18"
4,UINT32,9,8,0,0.000000,SEM_PADRAO,"6422637 | 6750325 | 6881378 | 6881383 | 6881388 | 6881390 | 7209077 | 7471204"
4,UINT16,9,7,0,0.000000,SEM_PADRAO,"98 | 100 | 103 | 108 | 109 | 110 | 117"
4,BYTE,9,7,0,0.000000,SEM_PADRAO,"98 | 100 | 103 | 108 | 109 | 110 | 117"
-5,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
5,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-6,UINT16,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-6,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
6,UINT16,9,5,0,0.000000,SEM_PADRAO,"98 | 103 | 105 | 110 | 114"
6,BYTE,9,5,0,0.000000,SEM_PADRAO,"98 | 103 | 105 | 110 | 114"
-7,BYTE,9,4,0,0.000000,SEM_PADRAO,"4 | 50 | 105 | 134"
7,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-8,UINT32,9,8,0,0.000000,SEM_PADRAO,"1184 | 1230 | 1244 | 12891 | 12892 | 26953 | 34472 | 34503"
-8,UINT16,9,8,0,0.000000,SEM_PADRAO,"1184 | 1230 | 1244 | 12891 | 12892 | 26953 | 34472 | 34503"
-8,BYTE,9,8,0,0.000000,SEM_PADRAO,"73 | 91 | 92 | 160 | 168 | 199 | 206 | 220"
8,UINT32,9,8,0,0.000000,SEM_PADRAO,"97 | 2097263 | 2097385 | 6357100 | 6357102 | 7209057 | 7471215 | 7995493"
8,UINT16,9,6,0,0.000000,SEM_PADRAO,"97 | 101 | 108 | 110 | 111 | 233"
8,BYTE,9,6,0,0.000000,SEM_PADRAO,"97 | 101 | 108 | 110 | 111 | 233"
-9,BYTE,9,9,0,0.000000,CAMPO_VARIAVEL,"41 | 57 | 84 | 120 | 132 | 148 | 207 | 229 | 239"
9,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-10,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"10496 | 14592 | 21504 | 30720 | 33792 | 37888 | 52992 | 58624 | 61184"
-10,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
10,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 32 | 97 | 110 | 114 | 122"
10,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 32 | 97 | 110 | 114 | 122"
-11,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
11,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-12,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"687865899 | 956301352 | 1409286185 | 2013265960 | 2214592546 | 2483028005 | 3472883755 | 3841982504 | 4009754661"
-12,UINT16,9,5,0,0.000000,SEM_PADRAO,"34 | 37 | 40 | 41 | 43"
-12,BYTE,9,5,0,0.000000,SEM_PADRAO,"34 | 37 | 40 | 41 | 43"
12,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"2097263 | 2097267 | 4325408 | 6357058 | 6357075 | 6553708 | 7209065 | 12386305 | 15269955"
12,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"1 | 32 | 66 | 67 | 83 | 105 | 108 | 111 | 115"
12,BYTE,9,9,0,0.000000,CAMPO_VARIAVEL,"1 | 32 | 66 | 67 | 83 | 105 | 108 | 111 | 115"
-13,BYTE,9,9,0,0.000000,CAMPO_VARIAVEL,"6 | 14 | 17 | 80 | 108 | 157 | 162 | 189 | 201"
13,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-14,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"1536 | 3584 | 4352 | 20480 | 27648 | 40192 | 41472 | 48384 | 51456"
-14,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
14,UINT16,9,7,0,0.000000,SEM_PADRAO,"32 | 66 | 97 | 100 | 110 | 189 | 233"
14,BYTE,9,7,0,0.000000,SEM_PADRAO,"32 | 66 | 97 | 100 | 110 | 189 | 233"
-15,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
15,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-16,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"100663296 | 234881024 | 285212672 | 1342177280 | 1811939328 | 2634022912 | 2717908992 | 3170893824 | 3372220416"
-16,UINT16,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-16,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
16,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"2097263 | 6357107 | 6881363 | 6881377 | 6881384 | 7077957 | 7274600 | 7602286 | 700317696"
16,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 69 | 83 | 97 | 104 | 110 | 111 | 115"
16,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 69 | 83 | 97 | 104 | 110 | 111 | 115"
-17,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"189"
17,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-18,UINT16,9,1,0,0.000000,CAMPO_CONSTANTE,"48384"
-18,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
18,UINT16,9,7,0,0.000000,SEM_PADRAO,"32 | 97 | 105 | 108 | 111 | 116 | 10686"
18,BYTE,9,7,0,0.000000,SEM_PADRAO,"32 | 97 | 105 | 108 | 111 | 116 | 190"
-19,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"1 | 2 | 6"
19,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 41"
-20,UINT32,9,3,0,0.000000,CAMPO_CONSTANTE,"3170894080 | 3170894336 | 3170895360"
-20,UINT16,9,3,0,0.000000,CAMPO_CONSTANTE,"256 | 512 | 1536"
-20,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
20,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"97 | 393216 | 2097266 | 6619244 | 7209057 | 7471169 | 7536751 | 7733356 | 2680684544"
20,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 65 | 97 | 108 | 111 | 114"
20,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 65 | 97 | 108 | 111 | 114"
-21,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
21,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-22,UINT16,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-22,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
22,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 6 | 32 | 101 | 110 | 114 | 115 | 118 | 40904"
22,BYTE,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 6 | 32 | 101 | 110 | 114 | 115 | 118 | 200"
-23,BYTE,9,6,0,0.000000,SEM_PADRAO,"97 | 105 | 108 | 111 | 115 | 211"
23,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 159"
-24,UINT32,9,6,0,0.000000,SEM_PADRAO,"24832 | 26880 | 27648 | 28416 | 29440 | 54016"
-24,UINT16,9,6,0,0.000000,SEM_PADRAO,"24832 | 26880 | 27648 | 28416 | 29440 | 54016"
-24,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
24,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"97 | 111 | 114 | 189 | 65536 | 7274573 | 12386306 | 16384097 | 218103812"
24,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 2 | 4 | 77 | 97 | 111 | 114 | 189"
24,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 2 | 4 | 77 | 97 | 111 | 114 | 189"
-25,BYTE,9,7,0,0.000000,SEM_PADRAO,"32 | 100 | 101 | 104 | 108 | 114 | 116"
25,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-26,UINT16,9,7,0,0.000000,SEM_PADRAO,"8192 | 25600 | 25856 | 26624 | 27648 | 29184 | 29696"
-26,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
26,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 1 | 111 | 189 | 250 | 3328"
26,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 1 | 111 | 189 | 250"
-27,BYTE,9,6,0,0.000000,SEM_PADRAO,"97 | 101 | 110 | 111 | 112 | 114"
27,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 13"
-28,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"536899328 | 1677749760 | 1694523648 | 1694527488 | 1744858624 | 1811965184 | 1912627456 | 1912631040 | 1946186240"
-28,UINT16,9,6,0,0.000000,SEM_PADRAO,"24832 | 25856 | 28160 | 28416 | 28672 | 29184"
-28,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
28,UINT32,9,7,0,0.000000,SEM_PADRAO,"189 | 8719 | 6357106 | 7274602 | 12386305 | 621215744 | 1291845632"
28,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 1 | 106 | 114 | 189 | 8719"
28,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 1 | 15 | 106 | 114 | 189"
-29,BYTE,9,7,0,0.000000,SEM_PADRAO,"77 | 97 | 98 | 100 | 101 | 105 | 111"
29,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 34"
-30,UINT16,9,7,0,0.000000,SEM_PADRAO,"19712 | 24832 | 25088 | 25600 | 25856 | 26880 | 28416"
-30,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
30,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 97 | 111 | 189 | 9479 | 19712"
30,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 7 | 97 | 111 | 189"
-31,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 32 | 76 | 98 | 100 | 105 | 109 | 114"
31,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 37 | 77"
-32,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"1291845632 | 1291853824 | 1627419136 | 1644195072 | 1677729792 | 1677748480 | 1694523904 | 1761633280 | 1862290432"
-32,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 8192 | 19456 | 25088 | 25600 | 26880 | 27904 | 29184"
-32,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
32,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"11210 | 65536 | 7536741 | 8833732 | 631111680 | 676397056 | 678232064 | 1912627456 | 3212902400"
