display_name,database_id,internal_person_id,reference_kind,offset,relative_to_identity_record,is_identity_record_occurrence,context_hex
"André Bahia",311169,68196,DATABASE_ID,0x00578E2D,52,True,420061006800690061002000530061006E0074006F00730020005600690061006E00610000000100BD000000640A010081BF040000050000004B0061006C0069006C0000000100BD000000650A010080BF0400000F00000053006F00610072006500730020004F006C0069007600650069007200610000000100BD000000660A01007FBF
"André Bahia",311169,68196,DATABASE_ID,0x0061A834,662075,False,0006250000EFDC0400000B00000041006E0064007200E90020004200610068006900610000000200BD0000000725000081BF0400000B0000004A006F00E3006F002000530061006E0074006F00730000000200BD00000008250000E0DC040000060000004E0069006C006D006100720000000200BD00000009250000F6A9040000080000
"André Bahia",311169,68196,DATABASE_ID,0x007F3D62,2600809,False,00D507030400000000000000000000D1072D024BFF00000000010101614400330000000000000000D1070000E408000081BF040001901A901A480D88008800000000000E020000ABBE0000630A0100FFFFFFFF8F00B00700BD000000FFFFFFFF00000000FFFFFFFF0000006C078F000000020000D1070A9B080000FFFFFFFF0000000000
"André Bahia",311169,68196,INTERNAL_PERSON_ID,0x00578E29,48,True,12000000420061006800690061002000530061006E0074006F00730020005600690061006E00610000000100BD000000640A010081BF040000050000004B0061006C0069006C0000000100BD000000650A010080BF0400000F00000053006F00610072006500730020004F006C0069007600650069007200610000000100BD000000660A
"André Bahia",311169,68196,INTERNAL_PERSON_ID,0x007F3CBF,2600646,False,3B003B00010000010400D4071000D407FFFFFFFF00FFFFFFFF00FFFFFFFF0002005A000000006C07FFFFFFFFF1BE0000640A0100072500004701BF0700BD000000FFFFFFFF00000100E30F00000100006C078F000000010000D1070A9A080000370400000000000000FFFFFFFF010001000000BB000000000000000000000000000000C7
"Andrezinho",302728,50407,DATABASE_ID,0x002F5A21,36,True,000000E6C40000E55E3200000A00000041006E0064007200650020004C00750069007A0000000100BD000000E7C40000889E04000006000000560061006C006E006500690000000100BD000000E8C40000F15E32000010000000440065006E00ED006C0073006F006E00200041006E007400F4006E0069006F0000000100BD000000E9C4
"Andrezinho",302728,50407,DATABASE_ID,0x00799468,4864619,False,01D507030400000000000000000400D4072D020AFF00000000010101613200330000000000000400D407000054030000889E040002D606D606320054007600D0020000FFFFFFFF811000000A00A8160000102700000000000000000000000088430000000000000000000000000000000000000000000000000000000000000003000000
"Andrezinho",302728,50407,INTERNAL_PERSON_ID,0x002F5A1D,32,True,000100BD000000E6C40000E55E3200000A00000041006E0064007200650020004C00750069007A0000000100BD000000E7C40000889E04000006000000560061006C006E006500690000000100BD000000E8C40000F15E32000010000000440065006E00ED006C0073006F006E00200041006E007400F4006E0069006F0000000100BD00
"Andrezinho",302728,50407,INTERNAL_PERSON_ID,0x004DAE38,1987643,False,0061006200750000000100A4000000E6C400004A1D7300000600000047006800650061007200E30000000100A4000000E7C40000E61C730000080000004E00690063006F006C0069007400E30000000100A4000000E8C40000E01373000007000000430075006C00650061006600E30000000100A4000000E9C40000DC13730000050000
"Andrezinho",302728,50407,INTERNAL_PERSON_ID,0x007993C1,4864452,False,0700410029004100010000010400D4070800D407FFFFFFFF00FFFFFFFF00FFFFFFFF0002003C000000006C07FFFFFFFFE7C400003F0201000F220000D200BF0700BD000000FFFFFFFF00000100E30F00000100006C078F000000010400D4070A380300003E0400000000000000FFFFFFFF010001000000CC020000000000005100000000
"Bruno Santos",8832815,11210,DATABASE_ID,0x0062BF73,40,True,2B000029C78600000C0000004200720075006E006F002000530061006E0074006F00730000000100BD000000CA2B00002FC786000009000000430061006D0061007A007A006F006C00610000000100BD000000CB2B000045D50400000C000000460072006500640020004D0061006E006800E3006500730000000100BD000000CC2B0000
"Bruno Santos",8832815,11210,DATABASE_ID,0x0094E44B,3286272,False,00D50705060000000000000000F300D2072B0200FF0000000001010161180033000000000000F300D2070000F71B00002FC78600021A041A0434002A009C00C5150000FFFFFFFF290C00000A00501990011027000000000000000000410000F10A0000000000000000000000000000000000000000000000000000000000000001000000
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x00079B22,-5973033,False,000900000000000000FF000000C92B0000F8E379000004000000000000000000960000000900000000000000FF000000CA2B0000F9E379000004000000000000000000960000000900000000000000FF000000CB2B0000FAE379000004000000000000000000960000000900000000000000FF000000CC2B0000FBE37900000400000000
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x001A39BA,-4752785,False,004D0061007300610074006F00000014003D000000C92B000087883B000003000000520079006F00000014003D000000CA2B0000F5E90B0000070000005400650074007300750079006100000014003D000000CB2B0000D1D30B0000060000004D006100730061006B006900000013003D000000CC2B00001EF30B0000060000004B006F
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x00388E9B,-2764976,False,00610064006100000007003D000000C92B0000E9EA0B0000060000004F0068006D006F0072006900000007003D000000CA2B000096566C0000060000004D0075007200610074006100000007003D000000CB2B000026D50B00000600000054006F006D00690074006100000007003D000000CC2B0000C3D30B0000050000004E00610067
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x0062BF6F,36,True,000000C92B000029C78600000C0000004200720075006E006F002000530061006E0074006F00730000000100BD000000CA2B00002FC786000009000000430061006D0061007A007A006F006C00610000000100BD000000CB2B000045D50400000C000000460072006500640020004D0061006E006800E3006500730000000100BD000000
