reference_kind,club_reference_kind,data_type,relative_offset,distinct_players,total_hits,assessment,players
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,-17,7,7,CANDIDATO_FORTE,"André Bahia | Andrezinho | Bruno Santos | Douglas Silva | Fabiano Eller | Júlio César Moraes | Reginaldo Araújo"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,-17,7,7,CANDIDATO_FORTE,"André Bahia | Andrezinho | Bruno Santos | Douglas Silva | Fabiano Eller | Júlio César Moraes | Reginaldo Araújo"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT16,-73,4,4,CANDIDATO_MEDIO,"André Bahia | Fabiano Eller | Júlio César Moraes | Júnior Baiano"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT32,-73,4,4,CANDIDATO_MEDIO,"André Bahia | Fabiano Eller | Júlio César Moraes | Júnior Baiano"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,-57,3,3,CANDIDATO_FRACO,"André Bahia | Andrezinho | Bruno Santos"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,-57,3,3,CANDIDATO_FRACO,"André Bahia | Andrezinho | Bruno Santos"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,-81,3,3,CANDIDATO_FRACO,"Dimba | Douglas Silva | Reginaldo Araújo"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,-81,3,3,CANDIDATO_FRACO,"Dimba | Douglas Silva | Reginaldo Araújo"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,179,2,2,CANDIDATO_FRACO,"Andrezinho | Reginaldo Araújo"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,179,2,2,CANDIDATO_FRACO,"Andrezinho | Reginaldo Araújo"
DATABASE_ID,CLUB_DATABASE_ID,UINT16,-236,2,2,CANDIDATO_FRACO,"André Bahia | Andrezinho"
DATABASE_ID,CLUB_DATABASE_ID,UINT32,-236,2,2,CANDIDATO_FRACO,"André Bahia | Andrezinho"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT16,-69,2,2,CANDIDATO_FRACO,"Andrezinho | Dimba"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT32,-69,2,2,CANDIDATO_FRACO,"Andrezinho | Dimba"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,101,2,2,CANDIDATO_FRACO,"Fabiano Eller | Júnior Baiano"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,101,2,2,CANDIDATO_FRACO,"Fabiano Eller | Júnior Baiano"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,106,2,2,CANDIDATO_FRACO,"André Bahia | Júlio César Moraes"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,106,2,2,CANDIDATO_FRACO,"André Bahia | Júlio César Moraes"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,-65,1,1,ISOLADO,"Júlio César Moraes"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,-65,1,1,ISOLADO,"Júlio César Moraes"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,-73,1,1,ISOLADO,"Fabiano Eller"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,-73,1,1,ISOLADO,"Fabiano Eller"
DATABASE_ID,CLUB_DATABASE_ID,UINT16,89,1,1,ISOLADO,"Bruno Santos"
DATABASE_ID,CLUB_DATABASE_ID,UINT32,89,1,1,ISOLADO,"Bruno Santos"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,-113,1,1,ISOLADO,"Júnior Baiano"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,-113,1,1,ISOLADO,"Júnior Baiano"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,123,1,1,ISOLADO,"André Bahia"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,123,1,1,ISOLADO,"André Bahia"
DATABASE_ID,CLUB_DATABASE_ID,UINT16,-166,1,1,ISOLADO,"Fabiano Eller"
DATABASE_ID,CLUB_DATABASE_ID,UINT16,-220,1,1,ISOLADO,"Bruno Santos"
DATABASE_ID,CLUB_DATABASE_ID,UINT32,-220,1,1,ISOLADO,"Bruno Santos"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,237,1,1,ISOLADO,"Reginaldo Araújo"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,237,1,1,ISOLADO,"Reginaldo Araújo"
DATABASE_ID,CLUB_DATABASE_ID,UINT16,-244,1,1,ISOLADO,"Júlio César Moraes"
DATABASE_ID,CLUB_DATABASE_ID,UINT32,-244,1,1,ISOLADO,"Júlio César Moraes"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,246,1,1,ISOLADO,"Júnior Baiano"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,246,1,1,ISOLADO,"Júnior Baiano"
DATABASE_ID,CLUB_DATABASE_ID,UINT16,-247,1,1,ISOLADO,"Fabiano Eller"
DATABASE_ID,CLUB_DATABASE_ID,UINT32,-247,1,1,ISOLADO,"Fabiano Eller"
DATABASE_ID,CLUB_SAVE_INDEX,UINT16,252,1,1,ISOLADO,"Bruno Santos"
DATABASE_ID,CLUB_SAVE_INDEX,UINT32,252,1,1,ISOLADO,"Bruno Santos"
DATABASE_ID,CLUB_DATABASE_ID,UINT16,-255,1,1,ISOLADO,"Dimba"
DATABASE_ID,CLUB_DATABASE_ID,UINT32,-255,1,1,ISOLADO,"Dimba"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT16,8,1,1,ISOLADO,"Fabiano Eller"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT16,-61,1,1,ISOLADO,"Bruno Santos"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT32,-61,1,1,ISOLADO,"Bruno Santos"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,102,1,1,ISOLADO,"Bruno Santos"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,102,1,1,ISOLADO,"Bruno Santos"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,105,1,1,ISOLADO,"Dimba"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,105,1,1,ISOLADO,"Dimba"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,-109,1,1,ISOLADO,"Dimba"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,-109,1,1,ISOLADO,"Dimba"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,110,1,1,ISOLADO,"Andrezinho"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,110,1,1,ISOLADO,"Andrezinho"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,142,1,1,ISOLADO,"Bruno Santos"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,142,1,1,ISOLADO,"Bruno Santos"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,146,1,1,ISOLADO,"André Bahia"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,146,1,1,ISOLADO,"André Bahia"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,148,1,1,ISOLADO,"Douglas Silva"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,148,1,1,ISOLADO,"Douglas Silva"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,150,1,1,ISOLADO,"Andrezinho"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,150,1,1,ISOLADO,"Andrezinho"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,151,1,1,ISOLADO,"Reginaldo Araújo"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,151,1,1,ISOLADO,"Reginaldo Araújo"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,154,1,1,ISOLADO,"Júlio César Moraes"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,154,1,1,ISOLADO,"Júlio César Moraes"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,157,1,1,ISOLADO,"Fabiano Eller"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,157,1,1,ISOLADO,"Fabiano Eller"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,-181,1,1,ISOLADO,"Fabiano Eller"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,-189,1,1,ISOLADO,"Fabiano Eller"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,212,1,1,ISOLADO,"Douglas Silva"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,212,1,1,ISOLADO,"Douglas Silva"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,215,1,1,ISOLADO,"Reginaldo Araújo"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT32,215,1,1,ISOLADO,"Reginaldo Araújo"
INTERNAL_PERSON_ID,CLUB_SAVE_INDEX,UINT16,235,1,1,ISOLADO,"Douglas Silva"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT16,248,1,1,ISOLADO,"Bruno Santos"
INTERNAL_PERSON_ID,CLUB_DATABASE_ID,UINT32,248,1,1,ISOLADO,"Bruno Santos"
