expected_club,expected_club_database_id,expected_club_save_index,display_name,person_database_id,person_database_id_offset,club_field_offset,club_save_index_value,resolved_club_database_id,resolved_club_name,is_identity_occurrence,classification,context_hex
"SC Corinthians Paulista",319,48,"Alessandro",3902245,0x0058470A,0x005846F9,1627419136,,"",True,TABELA_DE_IDENTIDADE,1000000041006E006400720061006400650020004F006C0069007600650069007200610000000100BD0000003F0E0100258B3B00001000000043006100720064006F0073006F0020006400650020004A0065007300FA00730000000100BD000000400E0100F1863B000012000000460065007200
"SC Corinthians Paulista",319,48,"Alessandro",3902245,0x008FB9FA,0x008FB9E9,189,932,"Kickers Offenbach",False,PLAYER_RECORD_OUTRO_CLUBE,00000001610D003A00000001610D002C000000016112003000000002610100BD0000000000000000D307000057170000258B3B000130113011B60361006D0003000000AE040000B2C2000041020100062800009B009B0700BD000000FFFFFFFF00000000FFFFFFFF0000006C07FFFFFFFF100400
"SC Corinthians Paulista",319,48,"Bruno Octávio",8832887,0x002FF56B,0x002FF55A,1862297856,,"",True,TABELA_DE_IDENTIDADE,0075C78600000D0000004200720075006E006F0020004F0063007400E100760069006F0000000100BD00000063C8000077C78600000B00000047006500720073006F006E0020004A006F007300E90000000100BD00000064C800007BC786000010000000570069006C006C00690061006D002000
"SC Corinthians Paulista",319,48,"Bruno Octávio",8832887,0x0058F06D,0x0058F05C,1761635328,,"",False,CLUB_INDEX_INVALIDO,00BD000000B91101002BBC860000090000004A006F00760061006E0065006C006C00690000000100BD000000BA11010077C78600000A000000430061007200700069006E0065006C006C00650000000100BD000000BB11010072C78600000C0000004F007300F300720069006F00200052006F00
"SC Corinthians Paulista",319,48,"Bruno Octávio",8832887,0x0062C2B8,0x0062C2A7,1862297856,,"",False,CLUB_INDEX_INVALIDO,0075C78600000D0000004200720075006E006F0020004F0063007400E100760069006F0000000100BD000000DF2B000077C78600000C00000047006500720073006F006E00200053006F0064007200E90000000100BD000000E02B00007BC7860000040000004B0061006800EA0000000100BD00
"SC Corinthians Paulista",319,48,"Bruno Octávio",8832887,0x009530F3,0x009530E2,0,,"",False,CLUB_INDEX_INVALIDO,30000000FA000000B600D607030400000000000000000000D4072E020AFF00000000000000000000D4070000391C000077C786000124132413920978009A0000000000A20500000DBF0000B3110100FFFFFFFF09009D0700BD000000FFFFFFFF00000000FFFFFFFF0000006C07C60200000C0000
"SC Corinthians Paulista",319,48,"Dinélson",320774,0x002FEA93,0x002FEA82,1845522176,,"",True,TABELA_DE_IDENTIDADE,000100BD00000024C8000001E504000008000000440069006E00E9006C0073006F006E0000000100BD00000025C8000006E504000009000000450072006D006F006700E9006E006500730000000100BD00000026C8000007E50400000D0000004A006F00E3006F0020004C0069006E0064006F00
"SC Corinthians Paulista",319,48,"Dinélson",320774,0x0062110F,0x006210FE,1845522176,,"",False,CLUB_INDEX_INVALIDO,000100BD0000009B270000FBE404000008000000440069006E00E9006C0073006F006E0000000100BD0000009C27000006E5040000040000004D006F006700690000000100BD0000009D27000007E50400000A0000004C00E9006F00200047007500650072007200610000000100BD0000009E27
"SC Corinthians Paulista",319,48,"Dinélson",320774,0x0088511C,0x0088510B,54,325,"Guarani FC",False,PLAYER_RECORD_OUTRO_CLUBE,00000000000400D407320200FF000000000102010355003600000001612400360000000000000400D40700001811000006E5040002F401F401320037009900160D0000FFFFFFFF283200000A007C15C8001027000000000000000000000000472500000000000000000000000000000000000000
"SC Corinthians Paulista",319,48,"Édson Araújo",308345,0x002F317E,0x002F316D,1862298112,,"",True,TABELA_DE_IDENTIDADE,C300006FB40400000C000000C900640073006F006E002000410072006100FA006A006F0000000100BD00000000C4000079B404000007000000560061006C006B006D006100720000000100BD00000001C40000ADB40400000B000000440061006E00690065006C0020004C00750069007A000000
"SC Corinthians Paulista",319,48,"Édson Araújo",308345,0x0061E4E5,0x0061E4D4,1862298112,,"",False,CLUB_INDEX_INVALIDO,2600007BB40400000C000000C900640073006F006E002000410072006100FA006A006F0000000100BD0000008626000079B404000008000000520061006E00690065006C006C00690000000100BD000000872600006FB40400000F00000043007200690073007400690061006E006F0020004E00
"SC Corinthians Paulista",319,48,"Édson Araújo",308345,0x007DC3AA,0x007DC399,62,333,"A Portuguesa D",False,PLAYER_RECORD_OUTRO_CLUBE,01D407040400000000000000000B01D30764FF00FF000000000101016117003E0000000000000400D40700007907000079B4040002480D480D64005C008B00A2050000FFFFFFFFE3D800000A000C1700001027040000000000000000000000682000000000000000000000000000000000000000
"SC Corinthians Paulista",319,48,"Fábio Baiano",3300471,0x0061A3CC,0x0061A3BB,1862299136,,"",True,TABELA_DE_IDENTIDADE,24000086E36A00000C0000004600E100620069006F00200042006100690061006E006F0000000200BD000000E9240000775C32000007000000520061006E00690065007200790000000200BD000000EA2400000BE00400000C000000520061006600610065006C002000530069006C0076006100
"SC Corinthians Paulista",319,48,"Fábio Baiano",3300471,0x008D1153,0x008D1142,51,322,"CR Flamengo",False,PLAYER_RECORD_OUTRO_CLUBE,0727020AFF0000000001030103550033000000016104003500000001613900330000000000000400D4070000FE140000775C320002EC13EC13520371008D0060100000FFFFFFFFD96709000A000019000010270000000000000000004100007EFB0B000000000000000000000000000000000000
"SC Corinthians Paulista",319,48,"Fábio Costa",6900151,0x00615A15,0x00615A04,1627419648,,"",True,TABELA_DE_IDENTIDADE,00DF22000056AB0400000B0000004600E100620069006F00200043006F0073007400610000000400BD000000E0220000B7496900000600000046006100ED0073006300610000000400BD000000E122000098CB5100000600000058006100760069006500720000000400BD000000E2220000C749
"SC Corinthians Paulista",319,48,"Fábio Costa",6900151,0x00922F20,0x00922F0F,64,335,"Santos FC",False,PLAYER_RECORD_OUTRO_CLUBE,00000000000000D407360232FF00000000010203025000CC02000001614F00400000000000000000D407000065190000B74969000270177017420F7D009E00EB130000FFFFFFFFE98717000A9C70170000102700FF1F000000010000460000433C37000000000000000000000000000000000000
"SC Corinthians Paulista",319,48,"Luciano Ratinho",6900008,0x0057F08C,0x0057F07B,1811965184,,"",True,TABELA_DE_IDENTIDADE,100000004600650072007200650069007200610020004700610062007200690065006C0000000100BD0000006F0C01002849690000070000004200720075006E006F0072006F0000000100BD000000700C01002949690000110000006400610073002000560069007200670065006E0073002000
"SC Corinthians Paulista",319,48,"Luciano Ratinho",6900008,0x0061C56A,0x0061C559,1862297600,,"",False,CLUB_INDEX_INVALIDO,00000F0000004C0075006300690061006E006F00200052006100740069006E0068006F0000000100BD000000C325000028496900000C000000C900640073006F006E00200042006100730074006F00730000000100BD000000C425000046C004000008000000430061006C006400650069007200
"SC Corinthians Paulista",319,48,"Luciano Ratinho",6900008,0x0091C030,0x0091C01F,53,324,"Grêmio FBPA",False,PLAYER_RECORD_OUTRO_CLUBE,0764FF00FF0000000001030161270030000000016113003800000001612C0035000000000000C900D10700000A1900002849690001C21AC21AE6149C00A40000000000ED040000C8BE0000700C0100FFFFFFFF1B00B10700BD000000FFFFFFFF00000000FFFFFFFF0000006C079A000000080000
"SC Corinthians Paulista",319,48,"Marcelo Magalhães",302580,0x0058866C,0x0058865B,1929405696,,"",True,TABELA_DE_IDENTIDADE,1000000047006100720063006900610020004D006100670061006C006800E3006500730000000100BD0000008B0F0100F49D040000110000005200690062006500690072006F00200047006F006E00E70061006C0076006500730000000100BD0000008C0F01005E5F3200000600000059006100
"SC Corinthians Paulista",319,48,"Marcelo Magalhães",302580,0x00626C98,0x00626C87,1929405696,,"",False,CLUB_INDEX_INVALIDO,00004D0061007200630065006C006F0020004D006100670061006C006800E3006500730000000100BD000000CD290000F49D0400000A0000004C00750069007A0020004D00E100720069006F0000000100BD000000CE290000F39D0400000F00000041006400ED006C0073006F006E0020004200
"SC Corinthians Paulista",319,48,"Marcelo Magalhães",302580,0x007978ED,0x007978DC,53,324,"Grêmio FBPA",False,PLAYER_RECORD_OUTRO_CLUBE,000104016116003000000001610F0044000000016101003800000001611B0035000000000000B500D20700003C030000F49D0400027C157C15480584009F00BD020000FFFFFFFFFA290F000A009C1D000010270000000000000000004A0000340032000000000000000000000000000000000000
"SC Corinthians Paulista",319,48,"Rosinei",316596,0x002FB1D1,0x002FB1C0,1761633536,,"",True,TABELA_DE_IDENTIDADE,0000000100BD000000E0C60000AAD40400000700000052006F00730069006E006500690000000100BD000000E1C60000B4D40400000E000000540068006900610067006F00200041006E007400F4006E0069006F0000000100BD000000E2C60000B6D404000012000000560069006E00ED006300
"SC Corinthians Paulista",319,48,"Rosinei",316596,0x00571057,0x00571046,1862297088,,"",False,CLUB_INDEX_INVALIDO,006F0000000100BD000000DB070100B6D404000006000000410064006F006C0066006F0000000100BD000000DC070100B4D40400000D00000053006100720074006F0072006900200043006F0073007400610000000100BD000000DD070100B2D4040000120000004D0069006F006E0061002000
"SC Corinthians Paulista",319,48,"Rosinei",316596,0x0062B35D,0x0062B34C,1761633536,,"",False,CLUB_INDEX_INVALIDO,0000000100BD0000007B2B000030B98600000700000052006F00730069006E006500690000000100BD0000007C2B0000B4D40400000B000000440061006E00690065006C002000560069006500720000000100BD0000007D2B0000A1BB8600000A0000004200720075006E006F00200048006500
"SC Corinthians Paulista",319,48,"Rosinei",316596,0x0083F494,0x0083F483,0,,"",False,CLUB_INDEX_INVALIDO,300000004B0000006C00D607030400000000000000000000D40736024BFF00000000000000000000D4070000280D0000B4D404000296009600320043008100E7090000FFFFFFFF401F00000A00E01500001027000000000000000000000000251600000000000000000000000000000000000000
"CR Flamengo",322,51,"André Bahia",311169,0x00578E2D,0x00578E1C,1627418112,,"",True,TABELA_DE_IDENTIDADE,420061006800690061002000530061006E0074006F00730020005600690061006E00610000000100BD000000640A010081BF040000050000004B0061006C0069006C0000000100BD000000650A010080BF0400000F00000053006F00610072006500730020004F006C0069007600650069007200
