reference_kind,data_type,relative_offset,flamengo_players,corinthians_players,distinct_players,total_hits,flamengo_names,corinthians_names,assessment
INTERNAL_PERSON_ID,UINT16,110,1,4,5,5,"Andrezinho","Bruno Octávio | Dinélson | Édson Araújo | Rosinei",CURRENT_CLUB_CANDIDATE_WEAK
INTERNAL_PERSON_ID,UINT32,110,1,4,5,5,"Andrezinho","Bruno Octávio | Dinélson | Édson Araújo | Rosinei",CURRENT_CLUB_CANDIDATE_WEAK
PERSON_DATABASE_ID,UINT16,-65,1,2,3,3,"Júlio César Moraes","Dinélson | Fábio Costa",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-65,1,2,3,3,"Júlio César Moraes","Dinélson | Fábio Costa",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,101,2,1,3,3,"Fabiano Eller | Júnior Baiano","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,101,2,1,3,3,"Fabiano Eller | Júnior Baiano","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,106,2,1,3,3,"André Bahia | Júlio César Moraes","Luciano Ratinho",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,106,2,1,3,3,"André Bahia | Júlio César Moraes","Luciano Ratinho",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,252,1,2,3,3,"Bruno Santos","Dinélson | Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,252,1,2,3,3,"Bruno Santos","Dinélson | Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,292,1,2,3,3,"Bruno Santos","Dinélson | Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,292,1,2,3,3,"Bruno Santos","Dinélson | Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-73,1,1,2,2,"Fabiano Eller","Fábio Baiano",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-73,1,1,2,2,"Fabiano Eller","Fábio Baiano",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-57,3,0,3,3,"André Bahia | Andrezinho | Bruno Santos","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-57,3,0,3,3,"André Bahia | Andrezinho | Bruno Santos","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-81,3,0,3,3,"Dimba | Douglas Silva | Reginaldo Araújo","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-81,3,0,3,3,"Dimba | Douglas Silva | Reginaldo Araújo","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-48,0,2,2,2,"","Bruno Octávio | Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-48,0,2,2,2,"","Bruno Octávio | Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,97,0,2,2,2,"","Fábio Baiano | Fábio Costa",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,97,0,2,2,2,"","Fábio Baiano | Fábio Costa",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,179,2,0,2,2,"Andrezinho | Reginaldo Araújo","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,179,2,0,2,2,"Andrezinho | Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,192,0,2,2,2,"","Édson Araújo | Luciano Ratinho",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,192,0,2,2,2,"","Édson Araújo | Luciano Ratinho",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,303,2,0,2,2,"Andrezinho | Reginaldo Araújo","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,303,2,0,2,2,"Andrezinho | Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,411,2,0,2,2,"Bruno Santos | Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,411,2,0,2,2,"Bruno Santos | Reginaldo Araújo","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,1235,0,2,2,2,"","Marcelo Magalhães | Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,1235,0,2,2,2,"","Marcelo Magalhães | Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-230,0,1,1,2,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,2496,0,1,1,2,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-3004,0,1,1,2,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-3122,0,1,1,2,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,3810,0,1,1,2,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-3,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-3,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-25,0,1,1,1,"","Alessandro",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-25,0,1,1,1,"","Alessandro",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-33,0,1,1,1,"","Luciano Ratinho",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-33,0,1,1,1,"","Luciano Ratinho",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,40,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,40,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-41,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-41,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-41,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-42,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,57,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-64,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-71,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-71,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-72,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-89,0,1,1,1,"","Alessandro",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-89,0,1,1,1,"","Alessandro",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-90,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,90,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,102,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,102,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-103,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-103,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,105,1,0,1,1,"Dimba","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,105,1,0,1,1,"Dimba","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-109,1,0,1,1,"Dimba","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-109,1,0,1,1,"Dimba","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-113,1,0,1,1,"Júnior Baiano","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-113,1,0,1,1,"Júnior Baiano","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-119,0,1,1,1,"","Luciano Ratinho",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-119,0,1,1,1,"","Luciano Ratinho",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,123,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
