display_name,person_database_id,internal_person_id,expected_club_database_id,expected_club_name,expected_club_save_index,reference_kind,reference_offset,data_type,club_value_offset,relative_offset,is_identity_occurrence,is_known_minus17,signature_hex
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,INTERNAL_PERSON_ID,0x008FB90E,UINT16,0x008FB08C,-2178,False,False,0C003A0000000161130038000000016130002E0000000000000100D40700004F17000039863B0002
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,INTERNAL_PERSON_ID,0x008FB90E,UINT16,0x008FB9A1,147,False,False,00000001FFFFFFFF020400571700000030000000CB1200006D01D407030400000000000000000000
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,INTERNAL_PERSON_ID,0x008FB90E,UINT32,0x008FB9A1,147,False,False,00000001FFFFFFFF020400571700000030000000CB1200006D01D407030400000000000000000000
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,INTERNAL_PERSON_ID,0x008FB90E,UINT16,0x008FB9E1,211,False,False,3A00000001610D002C000000016112003000000002610100BD0000000000000000D3070000571700
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,INTERNAL_PERSON_ID,0x008FB90E,UINT32,0x008FB9E1,211,False,False,3A00000001610D002C000000016112003000000002610100BD0000000000000000D3070000571700
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,INTERNAL_PERSON_ID,0x008FB90E,UINT16,0x008FC46B,2909,False,False,FFFFFFFFC4BE0000390E0100EC2000003000B60700BD0000004501000000000000FFFFFFFF000000
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,INTERNAL_PERSON_ID,0x008FB90E,UINT16,0x008FC578,3178,False,False,0000000000000000000100000000000030003000920000009200010000010400D4072001D307FFFF
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,INTERNAL_PERSON_ID,0x008FB90E,UINT16,0x008FC57A,3180,False,False,000000000000000100000000000030003000920000009200010000010400D4072001D307FFFFFFFF
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,PERSON_DATABASE_ID,0x008FB9FA,UINT16,0x008FB08C,-2414,False,False,0C003A0000000161130038000000016130002E0000000000000100D40700004F17000039863B0002
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,PERSON_DATABASE_ID,0x008FB9FA,UINT16,0x008FB9A1,-89,False,False,00000001FFFFFFFF020400571700000030000000CB1200006D01D407030400000000000000000000
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,PERSON_DATABASE_ID,0x008FB9FA,UINT32,0x008FB9A1,-89,False,False,00000001FFFFFFFF020400571700000030000000CB1200006D01D407030400000000000000000000
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,PERSON_DATABASE_ID,0x008FB9FA,UINT16,0x008FB9E1,-25,False,False,3A00000001610D002C000000016112003000000002610100BD0000000000000000D3070000571700
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,PERSON_DATABASE_ID,0x008FB9FA,UINT32,0x008FB9E1,-25,False,False,3A00000001610D002C000000016112003000000002610100BD0000000000000000D3070000571700
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",48,PERSON_DATABASE_ID,0x008FB9FA,UINT16,0x008FC46B,2673,False,False,FFFFFFFFC4BE0000390E0100EC2000003000B60700BD0000004501000000000000FFFFFFFF000000
