display_name,person_database_id,internal_person_id,expected_club_database_id,expected_club_save_index,reference_kind,reference_offset,is_identity_occurrence,context_hex
"Alessandro",3902245,69183,319,48,INTERNAL_PERSON_ID,0x00584706,True,E10400001000000041006E006400720061006400650020004F006C0069007600650069007200610000000100BD0000003F0E0100258B3B00001000000043006100720064006F0073006F0020006400650020004A0065007300FA00730000000100BD000000400E0100F1863B000012000000460065007200720065006900720061002000
"Alessandro",3902245,69183,319,48,INTERNAL_PERSON_ID,0x008FB90E,False,00006400010000010400D4070400D407FFFFFFFF00FFFFFFFF00FFFFFFFF0007004D000000006C07FFFFFFFFCFBE00003F0E01000E2100009200B50700BD0000003A00000001000000FFFFFFFF0000006C078C000000010000D3070AD7160000000A00000000000000FFFFFFFF020001000000D1020000B2010000E5000000000000008C
"Alessandro",3902245,69183,319,48,PERSON_DATABASE_ID,0x0058470A,True,1000000041006E006400720061006400650020004F006C0069007600650069007200610000000100BD0000003F0E0100258B3B00001000000043006100720064006F0073006F0020006400650020004A0065007300FA00730000000100BD000000400E0100F1863B00001200000046006500720072006500690072006100200064006500
"Alessandro",3902245,69183,319,48,PERSON_DATABASE_ID,0x008FB9FA,False,00000001610D003A00000001610D002C000000016112003000000002610100BD0000000000000000D307000057170000258B3B000130113011B60361006D0003000000AE040000B2C2000041020100062800009B009B0700BD000000FFFFFFFF00000000FFFFFFFF0000006C07FFFFFFFF100400D40700D8160000FFFFFFFF0000000000
"André Bahia",311169,68196,322,51,INTERNAL_PERSON_ID,0x00578E29,True,12000000420061006800690061002000530061006E0074006F00730020005600690061006E00610000000100BD000000640A010081BF040000050000004B0061006C0069006C0000000100BD000000650A010080BF0400000F00000053006F00610072006500730020004F006C0069007600650069007200610000000100BD000000660A
"André Bahia",311169,68196,322,51,INTERNAL_PERSON_ID,0x007F3CBF,False,3B003B00010000010400D4071000D407FFFFFFFF00FFFFFFFF00FFFFFFFF0002005A000000006C07FFFFFFFFF1BE0000640A0100072500004701BF0700BD000000FFFFFFFF00000100E30F00000100006C078F000000010000D1070A9A080000370400000000000000FFFFFFFF010001000000BB000000000000000000000000000000C7
"André Bahia",311169,68196,322,51,PERSON_DATABASE_ID,0x00578E2D,True,420061006800690061002000530061006E0074006F00730020005600690061006E00610000000100BD000000640A010081BF040000050000004B0061006C0069006C0000000100BD000000650A010080BF0400000F00000053006F00610072006500730020004F006C0069007600650069007200610000000100BD000000660A01007FBF
"André Bahia",311169,68196,322,51,PERSON_DATABASE_ID,0x0061A834,False,0006250000EFDC0400000B00000041006E0064007200E90020004200610068006900610000000200BD0000000725000081BF0400000B0000004A006F00E3006F002000530061006E0074006F00730000000200BD00000008250000E0DC040000060000004E0069006C006D006100720000000200BD00000009250000F6A9040000080000
"André Bahia",311169,68196,322,51,PERSON_DATABASE_ID,0x007F3D62,False,00D507030400000000000000000000D1072D024BFF00000000010101614400330000000000000000D1070000E408000081BF040001901A901A480D88008800000000000E020000ABBE0000630A0100FFFFFFFF8F00B00700BD000000FFFFFFFF00000000FFFFFFFF0000006C078F000000020000D1070A9B080000FFFFFFFF0000000000
"Andrezinho",302728,50407,322,51,INTERNAL_PERSON_ID,0x002F5A1D,True,000100BD000000E6C40000E55E3200000A00000041006E0064007200650020004C00750069007A0000000100BD000000E7C40000889E04000006000000560061006C006E006500690000000100BD000000E8C40000F15E32000010000000440065006E00ED006C0073006F006E00200041006E007400F4006E0069006F0000000100BD00
"Andrezinho",302728,50407,322,51,INTERNAL_PERSON_ID,0x004DAE38,False,0061006200750000000100A4000000E6C400004A1D7300000600000047006800650061007200E30000000100A4000000E7C40000E61C730000080000004E00690063006F006C0069007400E30000000100A4000000E8C40000E01373000007000000430075006C00650061006600E30000000100A4000000E9C40000DC13730000050000
"Andrezinho",302728,50407,322,51,INTERNAL_PERSON_ID,0x007993C1,False,0700410029004100010000010400D4070800D407FFFFFFFF00FFFFFFFF00FFFFFFFF0002003C000000006C07FFFFFFFFE7C400003F0201000F220000D200BF0700BD000000FFFFFFFF00000100E30F00000100006C078F000000010400D4070A380300003E0400000000000000FFFFFFFF010001000000CC020000000000005100000000
"Andrezinho",302728,50407,322,51,PERSON_DATABASE_ID,0x002F5A21,True,000000E6C40000E55E3200000A00000041006E0064007200650020004C00750069007A0000000100BD000000E7C40000889E04000006000000560061006C006E006500690000000100BD000000E8C40000F15E32000010000000440065006E00ED006C0073006F006E00200041006E007400F4006E0069006F0000000100BD000000E9C4
"Andrezinho",302728,50407,322,51,PERSON_DATABASE_ID,0x00799468,False,01D507030400000000000000000400D4072D020AFF00000000010101613200330000000000000400D407000054030000889E040002D606D606320054007600D0020000FFFFFFFF811000000A00A8160000102700000000000000000000000088430000000000000000000000000000000000000000000000000000000000000003000000
"Bruno Octávio",8832887,51299,319,48,INTERNAL_PERSON_ID,0x002FF567,True,0062C8000075C78600000D0000004200720075006E006F0020004F0063007400E100760069006F0000000100BD00000063C8000077C78600000B00000047006500720073006F006E0020004A006F007300E90000000100BD00000064C800007BC786000010000000570069006C006C00690061006D0020004600650072006E0061006E00
"Bruno Octávio",8832887,51299,319,48,INTERNAL_PERSON_ID,0x004E2C4E,False,006D006F00760000000200A500000062C800009B2D7B000006000000540072006F00790061006E0000000200A500000063C80000972D7B00000700000044006F00670075007A006F00760000000200A500000064C80000702D7B00000900000044006F006C0067006100630068006500760000000200A500000065C80000232D7B00000C
"Bruno Octávio",8832887,51299,319,48,INTERNAL_PERSON_ID,0x00953055,False,0000000000000000010000010400D4070300D407FFFFFFFF00FFFFFFFF00FFFFFFFF00060036000000006C07FFFFFFFF63C80000BA110100DF2B0000D500C10700BD000000FFFFFFFF00000000FFFFFFFF0000006C078C000000010000D4070A961B0000F30800000000000000FFFFFFFF0100010000007D000000000000000C00000000
"Bruno Octávio",8832887,51299,319,48,INTERNAL_PERSON_ID,0x00A98FAE,False,2000005EC80000018C2300005FC8000001AC2B000060C80000011D21000061C8000001EA20000062C8000001DE2B000063C8000001DF2B000065C8000001FB20000066C8000001E32B000068C8000001E52B000069C8000001E62B00006AC8000001172300006CC8000001E52100006DC8000001BE24000071C8000001EB2B000072C800
