reference_kind,boundary_kind,relative_offset,occurrence_count,distinct_players,flamengo_players,corinthians_players,assessment,player_names
PERSON_DATABASE_ID,ZERO_RUN_AFTER,31,10,10,6,4,BOUNDARY_CANDIDATE_STRONG,"Andrezinho | Bruno Santos | Dimba | Dinélson | Fábio Baiano | Júlio César Moraes | Júnior Baiano | Marcelo Magalhães | Reginaldo Araújo | Rosinei"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-71,7,7,4,3,BOUNDARY_CANDIDATE_MEDIUM,"Alessandro | André Bahia | Fabiano Eller | Júlio César Moraes | Júnior Baiano | Luciano Ratinho | Marcelo Magalhães"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-16,6,6,4,2,BOUNDARY_CANDIDATE_MEDIUM,"Alessandro | André Bahia | Fabiano Eller | Fábio Costa | Júlio César Moraes | Reginaldo Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,6,5,5,2,3,BOUNDARY_CANDIDATE_MEDIUM,"Bruno Santos | Douglas Silva | Édson Araújo | Fábio Baiano | Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-21,4,4,2,2,BOUNDARY_CANDIDATE_MEDIUM,"Bruno Santos | Douglas Silva | Fábio Baiano | Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-25,4,4,2,2,BOUNDARY_CANDIDATE_MEDIUM,"Bruno Santos | Douglas Silva | Fábio Baiano | Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,120,4,4,1,3,BOUNDARY_CANDIDATE_WEAK,"Andrezinho | Bruno Octávio | Édson Araújo | Rosinei"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,7,11,3,2,1,ISOLATED_BOUNDARY,"Bruno Santos | Douglas Silva | Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-12,4,3,1,2,ISOLATED_BOUNDARY,"Douglas Silva | Édson Araújo | Fábio Baiano"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,64,4,3,1,2,ISOLATED_BOUNDARY,"André Bahia | Édson Araújo | Marcelo Magalhães"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-43,3,3,2,1,ISOLATED_BOUNDARY,"Andrezinho | Bruno Santos | Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-67,3,3,1,2,ISOLATED_BOUNDARY,"Andrezinho | Dinélson | Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,111,3,3,1,2,ISOLATED_BOUNDARY,"Alessandro | Édson Araújo | Fabiano Eller"
PERSON_DATABASE_ID,ZERO_RUN_AFTER,46,2,2,1,1,ISOLATED_BOUNDARY,"Fabiano Eller | Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-66,2,2,1,1,ISOLATED_BOUNDARY,"Fábio Baiano | Reginaldo Araújo"
PERSON_DATABASE_ID,ZERO_RUN_AFTER,87,2,2,1,1,ISOLATED_BOUNDARY,"André Bahia | Bruno Octávio"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,116,2,2,1,1,ISOLATED_BOUNDARY,"Júlio César Moraes | Luciano Ratinho"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,186,2,2,1,1,ISOLATED_BOUNDARY,"Dimba | Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,23,17,3,0,3,ISOLATED_BOUNDARY,"Édson Araújo | Fábio Baiano | Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,0,3,2,0,2,ISOLATED_BOUNDARY,"Édson Araújo | Fábio Baiano"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-18,2,2,0,2,ISOLATED_BOUNDARY,"Bruno Octávio | Rosinei"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-51,2,2,0,2,ISOLATED_BOUNDARY,"Bruno Octávio | Rosinei"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-67,2,2,2,0,ISOLATED_BOUNDARY,"Dimba | Douglas Silva"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-75,2,2,0,2,ISOLATED_BOUNDARY,"Fábio Baiano | Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,107,2,2,0,2,ISOLATED_BOUNDARY,"Fábio Baiano | Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,112,2,2,2,0,ISOLATED_BOUNDARY,"Bruno Santos | Douglas Silva"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-158,2,2,0,2,ISOLATED_BOUNDARY,"Bruno Octávio | Rosinei"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,158,2,2,0,2,ISOLATED_BOUNDARY,"Bruno Octávio | Rosinei"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,35,132,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-35,132,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,33,131,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-33,131,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,31,95,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-31,95,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,37,68,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-37,68,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,39,56,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-39,56,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,29,38,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-29,38,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,47,37,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-47,37,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,41,33,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-41,33,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,45,32,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-45,32,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,43,29,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
