display_name,person_database_id,internal_person_id,expected_club_database_id,expected_club_name,sample_group,reference_kind,reference_value,reference_offset,is_identity,previous_zero_run_distance,next_zero_run_distance,previous_reference_distance,next_reference_distance,signature_hash,structural_signature,context_hex
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",SPECIAL_LST,INTERNAL_PERSON_ID,69183,0x00584706,True,-1,-1,9850,4,8256D65BEC2E4716,"S|B|I|I|I|I|I|I|I|I|I|B|REF|I|S|L|L|L|L|L|L|L|L|L|S|L|L|I|I|I|I|I|I|I|I|I|",000007000000540069006D00F300740065006F0000000100BD0000003D0E010007E10400000D0000004D006F00740061002000640061002000530069006C007600610000000100BD0000003E0E010008E10400001000000041006E006400720061006400650020004F006C0069007600650069007200610000000100BD0000003F0E0100258B3B00001000000043006100720064006F0073006F0020006400650020004A0065007300FA00730000000100BD000000400E0100F1863B00001200000046006500720072006500690072006100200064006500200041006700750069006100720000000100BD000000410E0100C6863B000005000000520069007A007A006F0000000100BD000000420E01000BE104000013000000640065002000410072006100FA006A006F00200052006F00640072006900670075006500730000000100BD000000430E01007B863B00000E0000004D006F007200610065007300200041006E006400720061006400650000000100BD000000440E010095853B00000C00
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",SPECIAL_LST,INTERNAL_PERSON_ID,69183,0x008FB90E,False,71,111,18295,236,E714DB2EC4F7070B,"I|L|L|L|FF|L|L|L|S|L|FF|S|REF|S|L|S|S|S|L|B|I|I|L|S|S|Z|L|L|L|L|L|Z|L|B|I|I|",26000000000000000000430000F3BA040000000000000000000000000000000000000000000000000000000000000100000000000000003A01000000000000000000000100000000000013001300640000006400010000010400D4070400D407FFFFFFFF00FFFFFFFF00FFFFFFFF0007004D000000006C07FFFFFFFFCFBE00003F0E01000E2100009200B50700BD0000003A00000001000000FFFFFFFF0000006C078C000000010000D3070AD7160000000A00000000000000FFFFFFFF020001000000D1020000B2010000E5000000000000008C6600000001000100B130410057170000002C000000CB1200001E00D607070500000000000000000000D3073402E7FF00000001FFFFFFFF020400571700000030000000CB1200006D01D407030400000000000000000000D40764FF0AFF000000000105016112003200000001610D003A00000001610D002C000000016112003000000002610100BD0000000000000000D307000057170000258B3B000130113011B60361006D0003000000AE040000B2
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",SPECIAL_LST,PERSON_DATABASE_ID,3902245,0x0058470A,True,-1,-1,4,1385,10279947FE743407,"B|I|I|I|I|I|I|I|I|I|B|I|REF|S|L|L|L|L|L|L|L|L|L|S|L|L|I|I|I|I|I|I|I|I|I|I|",0000540069006D00F300740065006F0000000100BD0000003D0E010007E10400000D0000004D006F00740061002000640061002000530069006C007600610000000100BD0000003E0E010008E10400001000000041006E006400720061006400650020004F006C0069007600650069007200610000000100BD0000003F0E0100258B3B00001000000043006100720064006F0073006F0020006400650020004A0065007300FA00730000000100BD000000400E0100F1863B00001200000046006500720072006500690072006100200064006500200041006700750069006100720000000100BD000000410E0100C6863B000005000000520069007A007A006F0000000100BD000000420E01000BE104000013000000640065002000410072006100FA006A006F00200052006F00640072006900670075006500730000000100BD000000430E01007B863B00000E0000004D006F007200610065007300200041006E006400720061006400650000000100BD000000440E010095853B00000C0000004200
"Alessandro",3902245,69183,319,"SC Corinthians Paulista",SPECIAL_LST,PERSON_DATABASE_ID,3902245,0x008FB9FA,False,16,-1,236,18666,22690EA7C705F2EF,"L|L|L|L|L|L|L|L|Z|Z|S|S|REF|L|L|L|L|L|L|L|L|I|B|FF|Z|FF|L|L|I|L|L|L|Z|FF|Z|I|",001E00D607070500000000000000000000D3073402E7FF00000001FFFFFFFF020400571700000030000000CB1200006D01D407030400000000000000000000D40764FF0AFF000000000105016112003200000001610D003A00000001610D002C000000016112003000000002610100BD0000000000000000D307000057170000258B3B000130113011B60361006D0003000000AE040000B2C2000041020100062800009B009B0700BD000000FFFFFFFF00000000FFFFFFFF0000006C07FFFFFFFF100400D40700D8160000FFFFFFFF0000000000FFFFFFFF0000000000000400D407000058170000298B3B0001F41AF41A4A158900AB0003000000AF04000051BF000052050100852300003D00A10700BD0000000C0100005E440000540000001000006C07FFFFFFFF100400D40700D9160000370400000000000000FFFFFFFF0000010303016400F910000001035A000C01000001035500330000000000000400D4070000591700003A8B3B0002DC1EDC1E6419A400AE0033120000FFFFFFFF04936B00
"André Bahia",311169,68196,322,"CR Flamengo",NORMAL,INTERNAL_PERSON_ID,68196,0x00578E29,True,-1,-1,32210,4,7876F5D0FBD25E50,"B|I|I|I|I|I|I|I|I|I|I|B|REF|I|S|L|L|S|L|L|L|S|B|I|I|I|I|I|I|I|B|L|L|L|L|L|",0000000100BD000000610A01008BBF04000006000000530069006D006F006E00690000000100BD000000620A01008ABF04000004000000530061006E007A0000000100BD000000630A010084BF04000012000000420061006800690061002000530061006E0074006F00730020005600690061006E00610000000100BD000000640A010081BF040000050000004B0061006C0069006C0000000100BD000000650A010080BF0400000F00000053006F00610072006500730020004F006C0069007600650069007200610000000100BD000000660A01007FBF0400000E00000054006500720072006100200041006C006200650072006F006E00690000000100BD000000670A010076BF0400000F0000004C006F00700065007300200052006F00640072006900670075006500730000000100BD000000680A010072BF0400001600000052006F0064007200690067007500650073002000530069006D006F006E0069002000460069006C0068006F0000000100BD000000690A010071BF0400000F000000
"André Bahia",311169,68196,322,"CR Flamengo",NORMAL,INTERNAL_PERSON_ID,68196,0x007F3CBF,False,71,64,96533,163,996EDBA26A321E96,"I|L|L|L|FF|L|L|L|S|L|FF|S|REF|S|L|S|L|L|I|S|I|I|L|S|S|Z|L|L|L|Z|Z|Z|L|L|L|B|",27000100000000000000480000D7E93400000000000000000000000000000000000000000000000000000000000001000000000000000042010000000000000000000001020002003B00020002003B003B003B00010000010400D4071000D407FFFFFFFF00FFFFFFFF00FFFFFFFF0002005A000000006C07FFFFFFFFF1BE0000640A0100072500004701BF0700BD000000FFFFFFFF00000100E30F00000100006C078F000000010000D1070A9A080000370400000000000000FFFFFFFF010001000000BB000000000000000000000000000000C74A000014010002030F000000000FA56E00E40800000033000000770100001E00D507030400000000000000000000D1072D024BFF00000000010101614400330000000000000000D1070000E408000081BF040001901A901A480D88008800000000000E020000ABBE0000630A0100FFFFFFFF8F00B00700BD000000FFFFFFFF00000000FFFFFFFF0000006C078F000000020000D1070A9B080000FFFFFFFF0000000000FFFFFFFF010001000000000000
"André Bahia",311169,68196,322,"CR Flamengo",NORMAL,PERSON_DATABASE_ID,311169,0x00578E2D,True,-1,-1,4,7849,2303CAF6CAFCD8D2,"I|I|I|I|I|I|I|I|I|I|B|I|REF|S|L|L|S|L|L|L|S|B|I|I|I|I|I|I|I|B|L|L|L|L|L|L|",00BD000000610A01008BBF04000006000000530069006D006F006E00690000000100BD000000620A01008ABF04000004000000530061006E007A0000000100BD000000630A010084BF04000012000000420061006800690061002000530061006E0074006F00730020005600690061006E00610000000100BD000000640A010081BF040000050000004B0061006C0069006C0000000100BD000000650A010080BF0400000F00000053006F00610072006500730020004F006C0069007600650069007200610000000100BD000000660A01007FBF0400000E00000054006500720072006100200041006C006200650072006F006E00690000000100BD000000670A010076BF0400000F0000004C006F00700065007300200052006F00640072006900670075006500730000000100BD000000680A010072BF0400001600000052006F0064007200690067007500650073002000530069006D006F006E0069002000460069006C0068006F0000000100BD000000690A010071BF0400000F0000004C006500
"André Bahia",311169,68196,322,"CR Flamengo",NORMAL,PERSON_DATABASE_ID,311169,0x0061A834,False,-1,-1,1128,5969,CB340C7057269FB5,"I|L|I|I|I|L|I|I|I|I|B|S|REF|S|L|L|L|L|L|S|L|L|L|S|B|I|I|I|I|B|S|I|S|L|L|L|",006E00690000000200BD0000000425000076BF04000009000000560061006E0064006500720073006F006E0000000200BD0000000525000090BC860000040000004D00610065006C0000000200BD00000006250000EFDC0400000B00000041006E0064007200E90020004200610068006900610000000200BD0000000725000081BF0400000B0000004A006F00E3006F002000530061006E0074006F00730000000200BD00000008250000E0DC040000060000004E0069006C006D006100720000000200BD00000009250000F6A9040000080000004300680069006E0069006E006800610000000200BD0000000A250000F8C60400000F0000004C00650061006E00640072006F0020004D00610063006800610064006F0000000200BD0000000B2500008FBF0400000F0000004D00610072006300750073002000570069006E006900630069007500730000000200BD0000000C2500008FBD8600000B0000004C00750069007A002000520065006E00610074006F0000000200BD0000000D250000A6D9
"André Bahia",311169,68196,322,"CR Flamengo",NORMAL,PERSON_DATABASE_ID,311169,0x007F3D62,False,16,87,163,4723,2C7F7BE5B5357CB1,"L|B|Z|L|L|B|L|L|Z|Z|S|S|REF|L|L|S|L|L|L|L|L|I|B|FF|Z|FF|L|S|S|L|L|L|Z|FF|I|Z|",000000010000D1070A9A080000370400000000000000FFFFFFFF010001000000BB000000000000000000000000000000C74A000014010002030F000000000FA56E00E40800000033000000770100001E00D507030400000000000000000000D1072D024BFF00000000010101614400330000000000000000D1070000E408000081BF040001901A901A480D88008800000000000E020000ABBE0000630A0100FFFFFFFF8F00B00700BD000000FFFFFFFF00000000FFFFFFFF0000006C078F000000020000D1070A9B080000FFFFFFFF0000000000FFFFFFFF0100010000000000000000000000000000000000000000000000A0020000E50800000033000000DD0200001E00D707040400000000000000000000D1072E0237FF00000000000000000000D1070000E508000084BF040001901A901A480D8800C200000000000F020000B2BE00007C020100FFFFFFFFAD00AB0700BD000000FFFFFFFF00000000FFFFFFFF0000006C078F0000000C0000D1070A9C080000FFFFFFFF0000000000FFFFFFFF01
"Andrezinho",302728,50407,322,"CR Flamengo",NORMAL,INTERNAL_PERSON_ID,50407,0x002F5A1D,True,-1,-1,2101,4,EB1DCEC18A80C325,"L|L|L|S|B|I|I|I|I|I|I|B|REF|I|S|L|L|L|L|S|L|L|I|I|I|I|I|I|I|L|I|B|L|L|L|L|",000000E4C40000D75E32000006000000420065006E0065006300790000000100BD000000E5C40000E35E3200000F00000041006E007400F4006E0069006F00200052006F006E0061006C0064006F0000000100BD000000E6C40000E55E3200000A00000041006E0064007200650020004C00750069007A0000000100BD000000E7C40000889E04000006000000560061006C006E006500690000000100BD000000E8C40000F15E32000010000000440065006E00ED006C0073006F006E00200041006E007400F4006E0069006F0000000100BD000000E9C40000F45E320000100000004C0065006F006E006100720064006F002000430061006500740061006E006F0000000100BD000000EAC40000F95E320000050000005200650067006900730000000100BD000000EBC40000FA5E320000100000004400EA006E006900730073006F006E0020005200690063006100720064006F0000000100BD000000ECC40000005F3200000A00000044006900760061006E0069006C0073006F006E0000000100
